"","C[Del(T):R1]A","C[Del(T):R2]A","C[Del(T):R3]A","C[Del(T):R4]A","C[Del(T):R(9,)]C","C[Del(T):R8]C","G[Del(T):R(9,)]A","G[Del(T):R8]A","G[Del(T):R5]C","G[Del(T):R6]C","G[Del(T):R7]C","C[Del(T):R5]G","C[Del(T):R6]G","C[Del(T):R7]G","A[Del(T):R1]G","A[Del(T):R2]G","A[Del(T):R3]G","A[Del(T):R4]G","C[Del(T):R(9,)]G","C[Del(T):R8]G","A[Del(T):R1]A","A[Del(T):R2]A","A[Del(T):R3]A","A[Del(T):R4]A","G[Del(T):R(9,)]C","G[Del(T):R8]C","A[Del(T):R(9,)]A","A[Del(T):R8]A","A[Del(T):R(9,)]G","A[Del(T):R8]G","A[Del(T):R5]C","A[Del(T):R6]C","A[Del(T):R7]C","C[Del(T):R(9,)]A","C[Del(T):R8]A","G[Del(T):R(9,)]G","G[Del(T):R8]G","A[Del(T):R5]A","A[Del(T):R6]A","A[Del(T):R7]A","C[Del(T):R5]C","C[Del(T):R6]C","C[Del(T):R7]C","C[Del(T):R5]A","C[Del(T):R6]A","C[Del(T):R7]A","G[Del(T):R5]A","G[Del(T):R6]A","G[Del(T):R7]A","G[Del(T):R5]G","G[Del(T):R6]G","G[Del(T):R7]G","A[Del(T):R(9,)]C","A[Del(T):R8]C","C[Del(T):R1]C","C[Del(T):R2]C","C[Del(T):R3]C","C[Del(T):R4]C","G[Del(T):R1]A","G[Del(T):R2]A","G[Del(T):R3]A","G[Del(T):R4]A","G[Del(T):R1]C","G[Del(T):R2]C","G[Del(T):R3]C","G[Del(T):R4]C","A[Del(T):R1]C","A[Del(T):R2]C","A[Del(T):R3]C","A[Del(T):R4]C","A[Del(T):R5]G","A[Del(T):R6]G","A[Del(T):R7]G","C[Del(T):R1]G","C[Del(T):R2]G","C[Del(T):R3]G","C[Del(T):R4]G","G[Del(T):R1]G","G[Del(T):R2]G","G[Del(T):R3]G","G[Del(T):R4]G"
"C[Del(T):R1]A",1,0.808996997514402,0.67958105308937,0.382081107280571,0.29015185462577,0.277890490476676,0.28946876220706,0.2809999314739,0.256231301467691,0.264234913192137,0.274589530764558,0.301897174864334,0.283110930956423,0.271075486360969,0.644073293702111,0.657391124820407,0.331747763937526,0.313800504347666,0.28379307523649,0.272775196187443,0.660071037745617,0.381152850556034,0.363330505401444,0.216312013487763,0.289487967700693,0.278476557578351,0.287331002508261,0.279887356971372,0.285094679497505,0.276724476587797,0.282732307574394,0.27808893856701,0.279664769058398,0.287905199160444,0.278386930608295,0.288089477255025,0.28170036665043,0.229227736969657,0.264899246908883,0.276486870854918,0.292767532798521,0.274427808144031,0.266446083998012,0.300535034053798,0.274493200173367,0.277083109960002,0.229006371126677,0.259006350210481,0.27448256404392,0.280103411490199,0.245900999060743,0.270156959099146,0.290048260538624,0.282698153623113,0.554121551286586,0.739152766212053,0.55576042854167,0.342786853646381,0.668072084920305,0.334591147052848,0.321739620480045,0.215824785405265,0.518992189860384,0.391740339936876,0.159881275439253,0.24444877454625,0.477483680140731,0.404468965223344,0.205675460899411,0.259767603413585,0.27785097065038,0.272066524249914,0.272374127319588,0.780203335923877,0.818977915935939,0.711805167161733,0.423997623912392,0.433170089059448,0.676373511263417,0.35222408056587,0.230283540503412
"C[Del(T):R2]A",0.808996997514402,1,0.672263164374284,0.387199281809552,0.265279836857324,0.26537454441733,0.263982917004998,0.270804597067398,0.254566854502714,0.26261721929093,0.265262327026928,0.290760270817619,0.277514992461613,0.263345818295916,0.582306374893822,0.598276531996781,0.322437969231351,0.309178113450375,0.26159863655684,0.260777797046485,0.607478144335415,0.650242557025515,0.362489094394474,0.241177390065854,0.262471751601683,0.266300114022627,0.265322602307305,0.269306505974851,0.262299623649892,0.262844072882357,0.279521378086162,0.271775018656537,0.270330375332201,0.26460475799119,0.26585333798993,0.262926417971392,0.268170178631837,0.236706761881139,0.264215730079371,0.269355568463245,0.28659629378223,0.271345261908719,0.259353882254339,0.296696676841971,0.271145912840725,0.268316331891123,0.235736125555904,0.260599267344594,0.268859849146388,0.277449154882012,0.246695527806651,0.26447253696542,0.265711471229622,0.268086637264757,0.498016151861013,0.706152133083708,0.500516579581515,0.33189546987484,0.599405191263881,0.621803301280291,0.33502334845543,0.228950390554364,0.454116158676776,0.391713950459135,0.17020238412523,0.248210154193149,0.436760751178337,0.381267210964427,0.211617501076501,0.263182717607865,0.273688540788742,0.266354965905009,0.266018262984572,0.662946135232193,0.727345172566214,0.637756345107285,0.398682212616214,0.391817286744938,0.623953005568638,0.346884012325476,0.230893596273115
"C[Del(T):R3]A",0.67958105308937,0.672263164374284,1,0.738122093132524,0.582192726239178,0.587454977185662,0.578419510782922,0.607361986365256,0.566549270509354,0.587086503672659,0.59569424457227,0.650106868416057,0.642388186982024,0.616075897567669,0.692894900398932,0.751685170275479,0.637617182558238,0.676154410226717,0.587856759020154,0.602039360020939,0.752750480058166,0.436426639189457,0.706715548267317,0.560247709340621,0.571855414115955,0.592158060905495,0.591252126224102,0.625733875822455,0.58335290257462,0.610090784548761,0.66063832261697,0.636487324562915,0.618708777190706,0.590230513360003,0.609882873151285,0.576344956199142,0.602422177103862,0.602437029471037,0.641486076443006,0.63524778294097,0.648608481995368,0.600850076799603,0.574791276252011,0.671242632855689,0.639351367365162,0.623807363022635,0.540156268447715,0.588641673462416,0.603185908531874,0.634284151482168,0.555810198466864,0.598095926360694,0.584809107468567,0.60226059734973,0.73107283448694,0.775838270810221,0.794020877651714,0.699294577329497,0.544023684711784,0.309382197915699,0.615910722794936,0.506149670127266,0.537473273499028,0.547769703274971,0.348553602949933,0.554608637093514,0.590643586925882,0.61997510510065,0.511445009679035,0.645244104973198,0.652552761755201,0.640348832120875,0.634106718935898,0.64267216302376,0.670878899478835,0.759825383884148,0.745887414668813,0.586859665340918,0.658808146027487,0.627251309504882,0.480675085526676
"C[Del(T):R4]A",0.382081107280571,0.387199281809552,0.738122093132524,1,0.835828579450225,0.856147027724416,0.82731826590446,0.886500466085115,0.80952455102065,0.846940794089107,0.859458993141586,0.938973563149708,0.952727629318541,0.928651276661277,0.540921689190105,0.659313583951905,0.726605008279132,0.911726288975062,0.857718883184914,0.901741281111027,0.718438399806578,0.36504554562223,0.839102073974186,0.809358334414652,0.814578335992986,0.856717595064072,0.862600389196836,0.931703097634127,0.852854114806485,0.914973972390464,0.957070795145348,0.927178985916324,0.899466921183116,0.855521327369579,0.907655163094034,0.827696510105291,0.887704357409751,0.923832039032693,0.97238796998861,0.952516614635446,0.934782081697985,0.868687681369264,0.833424649120805,0.969690486828197,0.960264662722102,0.931501981006357,0.791669042568968,0.864308309852132,0.88029561227037,0.926712265291633,0.805313814526738,0.879718434815745,0.844425790761592,0.874408719972747,0.748772559865405,0.592850580891034,0.792279148064679,0.963457511089028,0.306411585608984,0.161930352163838,0.744675839864511,0.733112468728609,0.325083611364513,0.438146034799339,0.451090672803326,0.795313579758199,0.450316829710465,0.55695445048317,0.581791043463303,0.880529553752885,0.971667019254408,0.964068476712466,0.95616646810444,0.374096400967422,0.403840825329896,0.536917743258882,0.962884784075095,0.632018612378892,0.469657949122517,0.740362627017951,0.660997415257268
"C[Del(T):R(9,)]C",0.29015185462577,0.265279836857324,0.582192726239178,0.835828579450225,1,0.958522349687853,0.997345824630495,0.964894116880292,0.839710366080313,0.870927006283124,0.920355094993209,0.896812279274379,0.896955125528378,0.918512520224139,0.533370933651251,0.613414154426,0.462392124402496,0.664222886334285,0.985153799490335,0.942252819464823,0.774315871386483,0.318217660746095,0.702138454011763,0.521740825668989,0.995455216965259,0.9499982351128,0.986476286285641,0.945493002805398,0.985280886764368,0.947921704658309,0.885417479588855,0.897240842309683,0.928147343423222,0.988208292949341,0.950302083938943,0.996615289279258,0.969686635356993,0.705446855147385,0.861253839698764,0.919302574243948,0.918238618698221,0.891527658858094,0.90752472773072,0.886595349772647,0.893872819802983,0.927379127528957,0.750194751691421,0.869313834510907,0.9308358672812,0.890064014711786,0.816162997143514,0.921436122617187,0.994668246834514,0.958582537206653,0.811485443409887,0.49887922346955,0.734204547135368,0.893529507395451,0.220875512366974,0.0885431633496186,0.531791135959998,0.635458567955998,0.305604151359242,0.453237674158959,0.440634828302632,0.746923043925576,0.435794979870483,0.578514724890186,0.346660662885064,0.685780286876016,0.871724768399834,0.884310149193508,0.911352565299753,0.31705784360065,0.266857881815441,0.380359307981364,0.851478912193407,0.677213654095159,0.45211459859249,0.642265940723541,0.66302863166322
"C[Del(T):R8]C",0.277890490476676,0.26537454441733,0.587454977185662,0.856147027724416,0.958522349687853,1,0.947859654655079,0.994537585925044,0.934285682945028,0.955852558580874,0.986495096913721,0.91276965298399,0.917955394534439,0.932896211395845,0.520699808965487,0.599101049946216,0.482244897875812,0.690772549989523,0.929562520612125,0.938769090412272,0.716053537458215,0.302377537677093,0.699066489316141,0.546528536091003,0.950777554745851,0.996491273534244,0.930973571611731,0.941535467201482,0.926932000899421,0.942373472160503,0.930996443826,0.957198485206742,0.985062671968614,0.929499560789871,0.945506610116394,0.946920748662125,0.988122769579464,0.732228110074462,0.882136895100642,0.930580406700892,0.949759330913037,0.96871500097434,0.983134699909461,0.907855187776886,0.914756718350162,0.938346047106322,0.856591014601118,0.952064931445637,0.990347918215352,0.952536304387113,0.912932738802199,0.984985001134354,0.952668640055727,0.995713852681518,0.782347955801315,0.507113854086848,0.760984451491979,0.92233034736478,0.216220228016977,0.0952261998840144,0.614575211447005,0.752334828256485,0.317461780092648,0.506128923017693,0.586029766861812,0.856332320218019,0.427046697337011,0.585312533484755,0.385576794161509,0.727803931456748,0.892038983253458,0.909266387462562,0.928977520983783,0.310245010600817,0.272010786061407,0.380824245517512,0.864401099973396,0.644137604969802,0.475314430240803,0.742973888536017,0.790540427116693
"G[Del(T):R(9,)]A",0.28946876220706,0.263982917004998,0.578419510782922,0.82731826590446,0.997345824630495,0.947859654655079,1,0.956834996391968,0.832975065533711,0.864057003210681,0.911413058877775,0.884462928661702,0.883989340658432,0.90506677459446,0.532625831911718,0.608861454539826,0.45866381090244,0.657425400325449,0.982329784170881,0.930723975248755,0.774486654421808,0.315511116917913,0.696754605186908,0.517306452499,0.997998858620224,0.942096868052477,0.985021743438231,0.935453468791782,0.983471090312537,0.937042077963485,0.876295897523013,0.887164475529341,0.916916898421071,0.985677093105741,0.938118483749851,0.998143223309757,0.961250905850944,0.696745346074306,0.850873842079355,0.907460134634804,0.907685165980431,0.88177122278674,0.897192338225774,0.874566053182148,0.881817416268416,0.913879549519039,0.745463131687,0.861722166054195,0.921501637347834,0.881072277089883,0.81110163107805,0.913052018009791,0.993327587629305,0.948861250803867,0.806931971338913,0.498064893632729,0.726650005084298,0.882089580897936,0.21745243745047,0.0887049823222645,0.532327861520816,0.632676728805821,0.306301060624786,0.45352825888788,0.442278059652193,0.742639332660452,0.436951825462794,0.574819677223555,0.345610967585071,0.679988848664262,0.859840036691185,0.8725911662665,0.899468161307674,0.314850548493874,0.264991535763541,0.37887854900882,0.840235561404314,0.671341331310708,0.450670112547963,0.641058969561679,0.660188766745966
"G[Del(T):R8]A",0.2809999314739,0.270804597067398,0.607361986365256,0.886500466085115,0.964894116880292,0.994537585925044,0.956834996391968,1,0.921692958463209,0.949981844164294,0.980505721695946,0.938888896940256,0.943425715629575,0.955694083968436,0.521871200151612,0.610879323449376,0.508554607961434,0.724204578865832,0.94619181326434,0.959063392963643,0.72426251616638,0.306414777022284,0.720207498168969,0.578592431548141,0.956342201118283,0.992249458046114,0.949704168491674,0.964289029417948,0.944413549593163,0.963061131242454,0.94734886024604,0.963200501998743,0.984481471730457,0.946273902116234,0.963965979077953,0.955108314713796,0.994979576537102,0.764106769010249,0.911491383456739,0.954910041329582,0.967847751355483,0.964332679424204,0.971577993544101,0.935491473967597,0.942588973219432,0.959585205379526,0.84777269297288,0.950182939953884,0.990220712027502,0.96014891754349,0.902414520333586,0.984442357892357,0.963364104801498,0.993840877454298,0.783318853815547,0.514422890637591,0.766448291234848,0.945134954249909,0.221116661153414,0.0931854041768319,0.620401669959747,0.740955806536112,0.310864812104956,0.490594950578258,0.550621608528873,0.846750860808421,0.430639287244143,0.581885146784526,0.400575289420844,0.751063132839098,0.920440262819371,0.934195385075011,0.952718008926442,0.309176315320348,0.280727322069435,0.398399793602341,0.894587155137145,0.652792176971723,0.468313932482933,0.733930100049311,0.765687377644809
"G[Del(T):R5]C",0.256231301467691,0.254566854502714,0.566549270509354,0.80952455102065,0.839710366080313,0.934285682945028,0.832975065533711,0.921692958463209,1,0.989436724586936,0.964684316425729,0.8068547024771,0.818590865543844,0.813122606444448,0.466092958578913,0.533193863348409,0.519739485230607,0.699468100767533,0.782498883888434,0.796956441754194,0.612421138898348,0.261094539470836,0.676810698798913,0.60201558220317,0.842025536318866,0.946323981687264,0.786345627798408,0.82053773650837,0.778333581023822,0.808186848376937,0.91098966029487,0.936926105966474,0.948056646792436,0.781710377044775,0.806501161399824,0.826618198424857,0.896160699843636,0.736071488296869,0.818415265510581,0.8266450811022,0.883872002831199,0.976820677008412,0.974868362547571,0.82284141727184,0.822250123939568,0.817192187125309,0.971398050709574,0.986782766372733,0.960313902820139,0.955486291126998,0.990917983329689,0.964067924909454,0.825457251481481,0.92874553211345,0.69539403050557,0.504492049361725,0.744010601351654,0.857013370937391,0.194606690426927,0.10469565301002,0.760026885235099,0.912261381850215,0.327897722261657,0.577225803211383,0.804927731411473,0.972118766066395,0.407828627073972,0.564373279452187,0.480245246873894,0.757844733069261,0.81537779077628,0.828993690715485,0.830832694662874,0.290355590763819,0.267859938049557,0.375732138119727,0.786925545139713,0.553218178022962,0.497529369080747,0.882837325418371,0.940573468843322
"G[Del(T):R6]C",0.264234913192137,0.26261721929093,0.587086503672659,0.846940794089107,0.870927006283124,0.955852558580874,0.864057003210681,0.949981844164294,0.989436724586936,1,0.98262673476429,0.853153998410128,0.868868284011669,0.864424205095538,0.485009532510141,0.558805695878116,0.529095969958632,0.725084362586419,0.827330915421551,0.848397602258288,0.641606226668578,0.274431021258105,0.698229531642123,0.616945550557332,0.870205636858987,0.96681840806891,0.832115938168166,0.871041168298423,0.823738274226983,0.85846546850433,0.938351918087474,0.964056628788119,0.972794920706704,0.826652144124556,0.856487536409542,0.859679527226492,0.929632443815574,0.766910974522369,0.864058100735145,0.876405618207719,0.91867458923967,0.991714106768655,0.986460052662351,0.866544443447669,0.869833663984186,0.867623603397654,0.957325784406039,0.993065120306218,0.980789474721074,0.972084601095176,0.985524987731827,0.984459165101425,0.863139229776325,0.955224013644951,0.719352722124493,0.514297613849874,0.757867535714118,0.8938405344592,0.19819694569221,0.102931013067496,0.738778212978726,0.887721695403977,0.324601757804133,0.55799395716975,0.753590561210042,0.95581765125904,0.413796638031057,0.571397134029074,0.471059108085099,0.774716635032624,0.859677892318586,0.877075869677593,0.879847654792015,0.295042614389812,0.275307972203475,0.386428176246856,0.827777759573479,0.577257387006078,0.492709366337046,0.855686981057721,0.910313794513326
