"","Ins(2,4):M","Ins(5,):M","Del3:M2","Del4:M2","Del5:M2","Del(7,):M1","Del6:M1","Del(7,):M3","Del6:M3","Del(7,):M(6,)","Del(7,):M4","Del(7,):M5","Del6:M4","Del6:M5","Del2:M1","Del3:M1","Del4:M1","Del5:M1","Del4:M3","Del5:M3","Del5:M4","Del(7,):M2","Del6:M2"
"Ins(2,4):M",1,0.963564292509389,0.754413087279814,0.715871293139191,0.281823563087599,0.362145498929123,0.791077065511673,0.0930006895956016,0.369386079187315,0.359511733393461,0.0720514064646593,0.125342692082262,0.654042675546305,0.602137766768741,0.755784176787196,0.749556675883089,0.834644811808801,0.423268479776565,0.710184632793753,0.656280539211443,0.53673265528416,0.0639344370238387,0.21574113685103
"Ins(5,):M",0.963564292509389,1,0.707210271007111,0.677040342822754,0.30940627568609,0.374291032113155,0.751769955890708,0.125566719735821,0.375639831904724,0.378216807532263,0.106479770610753,0.1515814436599,0.647537362271464,0.564346587146893,0.705888990651381,0.705133724866879,0.774616015923659,0.436763850380339,0.668727288507671,0.65207312861265,0.52933465453963,0.102580987086433,0.248674114721729
"Del3:M2",0.754413087279814,0.707210271007111,1,0.92877918680448,0.362948037260003,0.38391756479835,0.803080615947291,0.125478848533046,0.404714887488027,0.35519685804164,0.10223243384587,0.150404025162785,0.675333950074575,0.557776920740789,0.846270972282117,0.81462037366584,0.87549137825367,0.460187919825744,0.926242550890437,0.749403617023935,0.659818436697854,0.0962800321214918,0.254207665778765
"Del4:M2",0.715871293139191,0.677040342822754,0.92877918680448,1,0.504728191411559,0.496979319365455,0.797697207958621,0.270414616947798,0.523160153043334,0.452343477403366,0.246678702607539,0.289375848477483,0.716386141372543,0.607163367269956,0.82127017551203,0.823869793413802,0.857925624794802,0.560549589138093,0.929399627971557,0.810838020737165,0.73819734801416,0.247277972942658,0.400604157066353
"Del5:M2",0.281823563087599,0.30940627568609,0.362948037260003,0.504728191411559,1,0.733749167972252,0.456945135222334,0.732462255758604,0.761209633834602,0.680384120940011,0.716957532405743,0.722029181972748,0.591201334303992,0.555498692307159,0.348957892866743,0.500980997660894,0.408153648854527,0.682087679915806,0.425909919055576,0.649642732049198,0.578638130451271,0.737209161998155,0.793671775067994
"Del(7,):M1",0.362145498929123,0.374291032113155,0.38391756479835,0.496979319365455,0.733749167972252,1,0.571982939183799,0.778867437449876,0.732756953482311,0.760761056629953,0.741144838924328,0.743611698950196,0.640855623720649,0.56216968758739,0.383481070165745,0.5804766527206,0.505671145229373,0.738776170694155,0.401759062271027,0.62723712230261,0.535952493055531,0.818097897108659,0.738033840655303
"Del6:M1",0.791077065511673,0.751769955890708,0.803080615947291,0.797697207958621,0.456945135222334,0.571982939183799,1,0.238437962219802,0.541136296701965,0.460994518412664,0.206508282838188,0.258557797596024,0.805088163475948,0.686611530726844,0.786945736913217,0.893650080605122,0.94275410737785,0.624381088675359,0.744853899082835,0.781339747735737,0.622976160333887,0.218429257518917,0.389584286754696
"Del(7,):M3",0.0930006895956016,0.125566719735821,0.125478848533046,0.270414616947798,0.732462255758604,0.778867437449876,0.238437962219802,1,0.762557462850106,0.779783565861238,0.980965077232216,0.965183408920535,0.503978313388227,0.470427690573261,0.103172410393555,0.23378995339317,0.17113143484442,0.481228207818182,0.183497771432764,0.48638671255195,0.425297404080772,0.980125107545032,0.797717166598422
"Del6:M3",0.369386079187315,0.375639831904724,0.404714887488027,0.523160153043334,0.761209633834602,0.732756953482311,0.541136296701965,0.762557462850106,1,0.703801072853376,0.748304548302465,0.760698608255488,0.693863456623201,0.646005032612118,0.390452205121749,0.533322591174344,0.493497265036083,0.626327324575393,0.438257471453907,0.693855841626044,0.584453461738271,0.746707579537356,0.775100400213623
"Del(7,):M(6,)",0.359511733393461,0.378216807532263,0.35519685804164,0.452343477403366,0.680384120940011,0.760761056629953,0.460994518412664,0.779783565861238,0.703801072853376,1,0.773413215473369,0.792246631288046,0.610668212972721,0.559413910217984,0.333884498386898,0.438814781538078,0.405351665076894,0.538048510791345,0.384800867820438,0.589180889466236,0.523981872222599,0.769531117544241,0.687356112155671
