"","Del(10,):U(2,):R1","Del(10,):U1:R1","Del5:U(2,):R1","Del5:U1:R1","Del6:U(2,):R1","Del6:U1:R1","Del7:U(2,):R1","Del7:U1:R1","Del8:U(2,):R1","Del8:U1:R1","Del9:U(2,):R1","Del9:U1:R1","Del2:U(2,):R1","Del2:U1:R1","Del3:U(2,):R1","Del3:U1:R1","Del4:U(2,):R1","Del4:U1:R1","Del2:U1:R3","Del2:U1:R4","Del2:U2:R2","Del2:U2:R3","Del2:U2:R4","Del3:U1:R4","Del4:U2:R3","Del4:U2:R4","Del(6,):U1:R(7,9)","Del(6,):U2:R(4,9)","Del2:U1:R(5,9)","Del2:U2:R(5,9)","Del3:U1:R(5,9)","Del4:U1:R(5,9)","Del4:U2:R(5,9)","Del5:U1:R(5,9)","Del(6,):U(4,):R(2,9)","Del3:U3:R2","Del4:U4:R2","Del5:U5:R2","Del(6,):U3:R(3,9)","Del3:U3:R(5,9)","Del3:U3:R3","Del3:U3:R4","Del4:U4:R(5,9)","Del4:U4:R3","Del4:U4:R4","Del5:U5:R(5,9)","Del5:U5:R3","Del5:U5:R4"
"Del(10,):U(2,):R1",1,0.911028009885375,0.608442769920019,0.411627111028556,0.654840421186928,0.553369547939842,0.680307332174234,0.551683667013944,0.66817617107777,0.56312961459394,0.691433704605561,0.543264043012426,0.144681866850015,0.282564404221623,0.293476739510721,0.135150576841037,0.455019328757781,0.209297872553481,0.174481218493644,0.170410475990949,0.157473143887346,0.124390799326061,0.0693227361229961,0.319536651462279,0.190717264420192,0.10204957241866,0.00513608764802472,0.0710907248805408,0.0547025023326395,0.0610608553571618,0.0505869108612633,0.048430005437894,0.0685409564749508,0.0486847976272785,0.2558068744321,0.118113683464159,0.135322455550461,0.235442019838045,0.131883629413684,0.0586353426957145,0.0866001138782605,0.078341171908355,0.064144684263617,0.108006413298682,0.0886854147766716,0.0773025324738097,0.121999769599429,0.0781616647924463
"Del(10,):U1:R1",0.911028009885375,1,0.539383922251871,0.344692598819364,0.592246099612477,0.504103905318279,0.628540071460322,0.524045012363176,0.614199110517834,0.53526248184535,0.638564218202595,0.527235204912836,0.0778821822213337,0.26177519479507,0.222947012953378,0.0660953361100112,0.38670325827179,0.13869813032783,0.126219961211439,0.121571430955438,0.112693653544668,0.0637585134342806,0.00469175774990284,0.290900750555573,0.155415781467076,0.0432863028274747,0.00025319175126894,0.00189484534474579,-0.0104140777916397,-0.00475695851156293,-0.0115950141319649,-0.00804313701759667,-0.000683939483022065,-0.00191659586343324,0.191425908285374,0.0650165678361491,0.0791437478470384,0.187433907013085,0.0667408557500687,-0.00552108955838215,0.0302787193054231,0.0154288275534636,-0.0020052658468649,0.0437339506297324,0.024486680301222,0.0110977001772999,0.0622647913274363,0.015308504640265
"Del5:U(2,):R1",0.608442769920019,0.539383922251871,1,0.640684278216258,0.734643986567134,0.637355536380384,0.688933738987703,0.552742362025406,0.663905103736617,0.523570681435366,0.652145836848506,0.479657684488743,0.456228582008422,0.371809845684991,0.588842273370408,0.444054656200659,0.661351271567361,0.497315893976699,0.405671330341089,0.392048343142602,0.369087525385536,0.388460296933028,0.359490451538905,0.364778190604132,0.308425428474166,0.372931730045201,0.0187753593021484,0.357102270320416,0.37825070509902,0.368083877640035,0.360773746402557,0.33256197487729,0.372690852561201,0.302018288477876,0.475914135283723,0.364233240771164,0.37802775810131,0.41013963729859,0.410759550791199,0.36028410104493,0.353898900310872,0.365948743564384,0.375258398975206,0.398301359920544,0.385289635469076,0.352214552687162,0.387770449357721,0.350212895502096
"Del5:U1:R1",0.411627111028556,0.344692598819364,0.640684278216258,1,0.559428030607426,0.571624284256107,0.498621254017515,0.397956276655459,0.475094392969863,0.347765977923272,0.450571028902143,0.310429165522451,0.696625469803787,0.359198059254555,0.764104041194829,0.737846455102598,0.745437495088453,0.775369467753437,0.51708912449968,0.509455406581512,0.505342446582157,0.582440988965784,0.598442270468567,0.279951704008547,0.34606291555075,0.555007783960345,0.049945464050251,0.65677074163752,0.679271096320806,0.625275119150886,0.704304853470445,0.689405266815109,0.673002709276082,0.642230194888787,0.658070434968343,0.537905507994794,0.521391991793124,0.469566427029851,0.668023046262584,0.622262074057801,0.544169773469639,0.587540696936768,0.637866820008926,0.594797852254656,0.588857174723,0.626189961432289,0.594567201406021,0.585983300700726
"Del6:U(2,):R1",0.654840421186928,0.592246099612477,0.734643986567134,0.559428030607426,1,0.623937631041439,0.709915027614069,0.568341129857592,0.691268214934886,0.557605217962867,0.673900818190012,0.504251753744235,0.304106944898376,0.342786769608378,0.45135945319315,0.29673763510844,0.567553395836772,0.364522785023813,0.293046381998939,0.277298857242768,0.262674571427352,0.256166403373948,0.217348416362298,0.360724560493084,0.247525627751493,0.235040837762849,0.00741995357091308,0.225920768480048,0.214649622854649,0.217919450111396,0.207003401765678,0.194895524848744,0.22952194443386,0.179673579595777,0.34683252232757,0.238819075202248,0.253117707001244,0.308134614379759,0.279432630752777,0.211893475253319,0.216389319642154,0.221634536948129,0.221232823430696,0.25445421312126,0.238764421180596,0.211754507457907,0.246190321087373,0.210890287332245
"Del6:U1:R1",0.553369547939842,0.504103905318279,0.637355536380384,0.571624284256107,0.623937631041439,1,0.56664687249521,0.472863074938759,0.566551035347076,0.459687160630541,0.553793406065139,0.401666127646716,0.379634015193922,0.303868264302295,0.50302048589381,0.385297991082948,0.573622639509699,0.445957301871562,0.318078007890422,0.30732815854036,0.295948427931802,0.310037683643218,0.293756020756135,0.320245362452996,0.240588573821557,0.302242197715817,0.0334512762033961,0.304222066004783,0.322598447141312,0.3012854540353,0.335517691630475,0.333367408055334,0.3154525908593,0.316709598019817,0.399988770391725,0.292271746607019,0.291623196333169,0.325727084679046,0.348001968604953,0.299109666850086,0.284789546252246,0.302827041604377,0.315021353204416,0.314833026110433,0.30919364482493,0.301695152887197,0.321069123051038,0.292699908209343
"Del7:U(2,):R1",0.680307332174234,0.628540071460322,0.688933738987703,0.498621254017515,0.709915027614069,0.56664687249521,1,0.566437002561338,0.67943022365782,0.549710929095629,0.667421194433028,0.510731792223818,0.24457702095312,0.302618938614485,0.390949169465937,0.230901953711847,0.515661535613725,0.2988018426481,0.252948895328846,0.249254657204345,0.222496161830666,0.208328360077358,0.160797552982977,0.340369809766488,0.22640727157997,0.202492741661698,-0.00493484416753231,0.158828585205185,0.156091469507899,0.159037411636004,0.142690416458581,0.12976697603281,0.163944617940962,0.114303470735181,0.29056295738474,0.195685106088334,0.214077291815219,0.274998975464544,0.213912035549828,0.150420854324982,0.17269605332635,0.165954192493146,0.162270367989534,0.207671929366878,0.187158298797008,0.153952777602053,0.198083255228238,0.158350482357
"Del7:U1:R1",0.551683667013944,0.524045012363176,0.552742362025406,0.397956276655459,0.568341129857592,0.472863074938759,0.566437002561338,1,0.548870552896181,0.462885816972813,0.534992917180635,0.423099990517671,0.181519329967456,0.264196769431438,0.298679577929068,0.162154728541857,0.411357997415585,0.218747960106882,0.20026231298792,0.192413062509105,0.173942645620024,0.149356137931985,0.112037024975003,0.290489928275419,0.175231519719343,0.137631885979189,0.0214157998493271,0.0944999773963355,0.0964017194540105,0.103787637614112,0.0888975879633414,0.0830587974179775,0.0994418787574371,0.08226153097492,0.221441401280803,0.14957374424365,0.162342637338227,0.225914907698568,0.145123381830761,0.0997157661478134,0.127207476805982,0.120704481612881,0.103986861134116,0.146261766446035,0.128728693681557,0.10085901419373,0.141271617621051,0.109032999587064
"Del8:U(2,):R1",0.66817617107777,0.614199110517834,0.663905103736617,0.475094392969863,0.691268214934886,0.566551035347076,0.67943022365782,0.548870552896181,1,0.531705719687708,0.652206468852514,0.513397524527108,0.211553968343894,0.299667240509074,0.354948433791109,0.202009922521439,0.482363918047444,0.265450061996564,0.219405181278848,0.213104788508275,0.193029863225582,0.17513709758436,0.128136578690458,0.342047671669235,0.2113986182739,0.167994520503697,0.00762862647475665,0.133149779635875,0.125159614351503,0.124396792675351,0.116534953275452,0.109329643666536,0.131363262317178,0.100922700156526,0.280291481756906,0.16383512613884,0.18390116302592,0.264169637695578,0.19266408435001,0.120375148145277,0.139638504434549,0.138896556844752,0.129754591594108,0.175257527780164,0.154171041723724,0.129871724647719,0.167544118839902,0.138740474796933
"Del8:U1:R1",0.56312961459394,0.53526248184535,0.523570681435366,0.347765977923272,0.557605217962867,0.459687160630541,0.549710929095629,0.462885816972813,0.531705719687708,1,0.538619059763042,0.41284963505391,0.113382647295846,0.257955071669747,0.239451718077711,0.0936664417821366,0.360827303645245,0.160391218999514,0.155041792068563,0.147893937878865,0.132173979108072,0.0891653645671698,0.0443890769295921,0.269513372770681,0.155432259190132,0.0807146551169691,0.0113236782831032,0.0324616142080446,0.0307379165998636,0.0386977607462795,0.0237330740950576,0.0240486764228512,0.0361832861449197,0.0264636386448567,0.160050641028483,0.0965885792090705,0.112133664608772,0.187799779021028,0.0826776093897909,0.0354877367584895,0.0678384070821879,0.0564381997270211,0.0385354283681132,0.0846618713565189,0.0576171063003152,0.0441844700959351,0.0821424121142227,0.0603562921979286
