"","A[Ins(C):R0]A","A[Ins(C):R(9,)]A","A[Ins(C):R(9,)]G","A[Ins(C):R(9,)]T","A[Ins(C):R7]A","A[Ins(C):R7]G","A[Ins(C):R7]T","A[Ins(C):R8]A","A[Ins(C):R8]G","A[Ins(C):R8]T","G[Ins(C):R(9,)]A","G[Ins(C):R(9,)]G","G[Ins(C):R(9,)]T","G[Ins(C):R7]A","G[Ins(C):R7]G","G[Ins(C):R7]T","G[Ins(C):R8]A","G[Ins(C):R8]G","G[Ins(C):R8]T","T[Ins(C):R(9,)]A","T[Ins(C):R(9,)]G","T[Ins(C):R(9,)]T","T[Ins(C):R7]A","T[Ins(C):R7]G","T[Ins(C):R7]T","T[Ins(C):R8]A","T[Ins(C):R8]G","T[Ins(C):R8]T","A[Ins(C):R0]G","A[Ins(C):R1]A","A[Ins(C):R1]G","A[Ins(C):R1]T","A[Ins(C):R2]A","A[Ins(C):R2]G","A[Ins(C):R2]T","A[Ins(C):R3]A","A[Ins(C):R3]G","A[Ins(C):R3]T","G[Ins(C):R0]A","G[Ins(C):R0]G","G[Ins(C):R0]T","G[Ins(C):R1]A","G[Ins(C):R1]G","G[Ins(C):R1]T","G[Ins(C):R2]A","G[Ins(C):R2]G","G[Ins(C):R2]T","G[Ins(C):R3]A","G[Ins(C):R3]G","G[Ins(C):R3]T","T[Ins(C):R0]A","T[Ins(C):R0]G","T[Ins(C):R0]T","T[Ins(C):R1]A","T[Ins(C):R1]G","T[Ins(C):R1]T","T[Ins(C):R2]A","T[Ins(C):R2]G","T[Ins(C):R2]T","T[Ins(C):R3]A","T[Ins(C):R3]G","T[Ins(C):R3]T","A[Ins(C):R4]A","A[Ins(C):R4]G","A[Ins(C):R4]T","A[Ins(C):R5]A","A[Ins(C):R5]G","A[Ins(C):R5]T","A[Ins(C):R6]A","A[Ins(C):R6]G","A[Ins(C):R6]T","G[Ins(C):R4]A","G[Ins(C):R4]G","G[Ins(C):R4]T","G[Ins(C):R5]A","G[Ins(C):R5]G","G[Ins(C):R5]T","G[Ins(C):R6]A","G[Ins(C):R6]G","G[Ins(C):R6]T","T[Ins(C):R4]A","T[Ins(C):R4]G","T[Ins(C):R4]T","T[Ins(C):R5]A","T[Ins(C):R5]G","T[Ins(C):R5]T","T[Ins(C):R6]A","T[Ins(C):R6]G","T[Ins(C):R6]T","A[Ins(C):R0]T"
"A[Ins(C):R0]A",1,0.175090383818338,0.100246218787812,0.153450208402436,0.141149322248713,0.16800477762534,0.110383546575255,0.191517953862282,0.170943471023147,0.184841759126224,0.154001925361086,0.125238872464374,0.167883962712043,0.149543865297772,0.167531155506033,0.121473740937528,0.182081667398454,0.175048018051987,0.170251552639321,0.179367566457656,0.130683003439033,0.137914934923577,0.140398837409488,0.17305821671701,0.110014101146196,0.182293564008576,0.17623596023662,0.169920246542907,0.684694395763844,0.352101105320683,0.16730362106563,0.291442395824149,0.169607239466108,0.0809336981188557,0.139719888629038,0.165714423952655,0.109687272711786,0.161720380606635,0.0591794039380677,0.116470852884763,0.309586233492299,0.0668266381832625,0.0231568016852539,0.0508701681481841,0.0396675555581704,0.0657624255729685,0.0459748282114505,0.12054548689017,0.121671206281169,0.11333814981645,0.301657815824736,0.110305856135717,0.564070662226693,0.0948988851276772,0.0388212410219426,0.175168887766668,0.089228329899115,0.0728641051412174,0.13580456094345,0.117879010837117,0.116556201273178,0.163489898066231,0.0577881199968393,0.161458994421628,0.035951598924055,0.0487859471980895,0.0875364557288834,0.0647824974074631,0.107969107388011,0.0908665269364843,0.0809129238174862,0.0516691340030787,0.103323197756751,0.0334198277330401,0.0744424641122558,0.104715759022052,0.11640077499918,0.104832243382234,0.138795629314594,0.102733835897453,0.0472529830613833,0.0948613203690152,0.0333363465484862,0.0519192589807332,0.0752428141236393,0.0667403810801245,0.077199826113246,0.0915777248773713,0.0715175833881866,0.894227916818579
"A[Ins(C):R(9,)]A",0.175090383818338,1,0.550666257452154,0.657818264288453,0.704852228605836,0.79968947284703,0.59625544028474,0.890715988068962,0.862334596702928,0.873039256602129,0.859124778840143,0.684417896179078,0.689157432266309,0.741271103028131,0.819796570196713,0.653567069054377,0.854364094547653,0.848497601046138,0.852917176752455,0.903322665201317,0.763147306673468,0.818935293076807,0.697381342772796,0.801523671604478,0.581873790936984,0.874412032393289,0.865763110127289,0.863870339456694,0.207530091085431,0.333637368866533,0.108843266126723,0.162078540042164,0.31678332161507,0.290205940045535,0.265867980710255,0.635843922709747,0.516000198880979,0.688062745197798,0.100148117387561,0.566068092508926,0.372226069593481,0.15033318233345,0.124251278857715,0.138823672670645,0.190218843860909,0.259267507714218,0.24030678445241,0.584168158007513,0.542167242304831,0.608129346634587,0.525497686629066,0.365364350568957,0.654562446233966,0.290476707255992,0.157201627679031,0.407345583199814,0.344516210731805,0.388010205021959,0.440824645590328,0.560285680334086,0.567740969385306,0.673818630532746,0.358026641896054,0.712148193484384,0.279828081773686,0.326592414966914,0.505611426439127,0.396318404161987,0.566924291874403,0.508279368544299,0.449452308505818,0.338782848726564,0.592161843013894,0.271238828931644,0.414706647434928,0.55596386123862,0.603723893243593,0.556146279426837,0.712888750654027,0.558042155273088,0.324344617152506,0.51492660657916,0.268679228276991,0.343202040396722,0.451614040570229,0.406557505394478,0.454021150364103,0.511820679536616,0.445256918983312,0.0675031426981236
"A[Ins(C):R(9,)]G",0.100246218787812,0.550666257452154,1,0.4242743590485,0.512907197475433,0.532946782917003,0.481269425485893,0.560850914620075,0.535844133930351,0.53963273742849,0.508969550512505,0.444880894722905,0.427993741597971,0.520779099270436,0.538417405342378,0.484236311032667,0.533686703007966,0.545201011288099,0.546824254021,0.573601697419934,0.515817630029608,0.513957080247556,0.518202109211001,0.54572745091296,0.466537963396819,0.580220986967156,0.552536233598081,0.570393331411667,0.101067185365813,0.215287661989758,0.0673256509242988,0.115180745290715,0.222586978308129,0.187912679454995,0.185937509832769,0.479188409380001,0.300541640287752,0.486539114739937,0.0662735074678508,0.325242282467667,0.249642996657457,0.101342723755882,0.0697355051756392,0.0808672745662092,0.140326056387231,0.187894166047349,0.135041282899389,0.375071278602712,0.336700984064854,0.405705652210064,0.338180461147249,0.234028670845787,0.421577850670943,0.230274134175493,0.116899249326777,0.323929142072965,0.239771166107436,0.27537441537133,0.334996598489378,0.411660057331414,0.371429034458048,0.463571425804084,0.340053392065233,0.450083605423174,0.29624010129743,0.325912741285184,0.430312231852494,0.369581482072338,0.462558517733414,0.414193040044899,0.397852458900653,0.331555371271339,0.420533881101168,0.293875808181254,0.377318900134229,0.440764084965131,0.465085904430236,0.45558761879397,0.512787475044315,0.449856930140609,0.319399286346375,0.410661961755362,0.292972049585536,0.33543758857942,0.396971854649006,0.376556037091879,0.4018704768479,0.425680816571595,0.395673335801774,0.0306393841898667
"A[Ins(C):R(9,)]T",0.153450208402436,0.657818264288453,0.4242743590485,1,0.454898725990946,0.556594850877494,0.369620726348637,0.645730587125749,0.621078940291924,0.616712302998029,0.635718931166854,0.462659482727176,0.5277570637649,0.506276273814535,0.592782611959553,0.430424203740818,0.620523238952531,0.61382823059264,0.605497435579795,0.669511429070419,0.601205519947318,0.604778003217817,0.468178617632976,0.579695011075687,0.359481150000817,0.647973447109076,0.638695440072194,0.624756967156377,0.177522917120524,0.243627368272327,0.0859878389441833,0.124272624686835,0.236444683945973,0.229078748854781,0.200580264738632,0.480418052566682,0.411760176178754,0.534530485476916,0.062116377346546,0.382965188045743,0.25973876000212,0.102175748875396,0.0740066044722812,0.0924597160945208,0.125506152383934,0.200984722725361,0.164211534695041,0.420016040893962,0.455696429766433,0.448695462484,0.362534464288357,0.24631018829136,0.501122315564061,0.19695384886582,0.102214558557732,0.263221397113017,0.239515217093666,0.274805477278795,0.302707721920469,0.391048587053734,0.4285334186605,0.484206446059297,0.174418861143772,0.517084995713585,0.11226371267264,0.150463033413601,0.314961241175725,0.207477714186689,0.348994835298178,0.305480636490626,0.249446522800254,0.15918718562889,0.374744802402359,0.108751963712514,0.225240808070038,0.366035784450514,0.397805255775292,0.343697394443116,0.495888305691972,0.355528686284295,0.146134656111514,0.316557993417802,0.104341409798917,0.164859449622874,0.25572126653685,0.216047537090121,0.254233635596916,0.307119413494593,0.243204365999474,0.0807493522404952
"A[Ins(C):R7]A",0.141149322248713,0.704852228605836,0.512907197475433,0.454898725990946,1,0.94726186026749,0.973243980751158,0.837000763452911,0.758288011231478,0.850516780038615,0.676832639961037,0.561362422683349,0.533065742742222,0.985113863328406,0.909958855049243,0.980862661679595,0.857338293721459,0.818597720939119,0.885243863302088,0.758174085155561,0.636427048852718,0.626305526726331,0.99291310912778,0.929138428614951,0.969666246331798,0.852550344036714,0.790343801658761,0.88054376804939,0.174356856420947,0.345339090834355,0.132439640657324,0.202392162762321,0.338269018112842,0.27495780010354,0.324243618168435,0.772065296302094,0.477940166793158,0.745886350348402,0.075077337083111,0.520216115824347,0.348401302859398,0.167200267555189,0.128601405593439,0.167481849934906,0.235601925750504,0.291089924695656,0.306095576830289,0.650124067908039,0.536677060357398,0.653235412573152,0.549451694514374,0.367840560999135,0.675215912134554,0.429792155233233,0.222708215742745,0.643020089574992,0.451565346401855,0.555675662371249,0.541051086090546,0.745843871559143,0.600630198375875,0.778714233427875,0.849762565877668,0.830067819203891,0.784907214282608,0.825345688440824,0.913087831465004,0.871790060913592,0.960651819691832,0.936942162874377,0.902213713828755,0.841436853230663,0.906247278271792,0.781429788801155,0.885160392458146,0.930974045645611,0.963383931218849,0.957306599271262,0.957004612497263,0.953695945215916,0.828543858687075,0.91997299561471,0.779685129236804,0.837116269071368,0.898989310237515,0.881483387472674,0.907084865825335,0.93958791760456,0.893993665701291,0.0416645781953205
"A[Ins(C):R7]G",0.16800477762534,0.79968947284703,0.532946782917003,0.556594850877494,0.94726186026749,1,0.868666079041051,0.938238531819965,0.855873418838683,0.933140944762368,0.765880874784374,0.606173954156144,0.61916589611997,0.96691064965291,0.970633077900483,0.912247906887439,0.948863094669369,0.916302874823414,0.951422661472363,0.834143469086303,0.711178085868462,0.697479510741346,0.945542104114304,0.974673461433394,0.86098312014285,0.941724548361268,0.899535255848747,0.937763544066162,0.205643300886901,0.360324661678906,0.124050277874781,0.19597106332754,0.355272169209334,0.307757883108215,0.323361415060016,0.773286305873883,0.546429545413302,0.790841870360558,0.0824591250136515,0.576815081179547,0.360446834270686,0.169333728790455,0.127061875741834,0.161895341808273,0.231490886325852,0.302796770391903,0.294931400771194,0.683329089822421,0.630034523566778,0.696549469610872,0.554216011258617,0.381432708421854,0.750889515926684,0.39773621989186,0.203640769394873,0.562006183748645,0.423106716136403,0.509981127495412,0.511645541162474,0.706398360839024,0.65514592238108,0.763227081084257,0.664812848323277,0.878888408587089,0.577018516164676,0.629920630300998,0.784883311104103,0.696529527320935,0.845926157323394,0.804815592153976,0.745234836224504,0.652915758231612,0.827071994201043,0.572507546154,0.716470429929499,0.840826070245854,0.878972128036385,0.838257389037415,0.944789765058625,0.843668717005077,0.635257958579731,0.793437222062667,0.570007375844769,0.646498990642031,0.744193333300644,0.708686661127669,0.748705399152355,0.811127112289919,0.729761954173395,0.0474959397909422
"A[Ins(C):R7]T",0.110383546575255,0.59625544028474,0.481269425485893,0.369620726348637,0.973243980751158,0.868666079041051,1,0.719512168948544,0.64872870967127,0.747441695117298,0.575292873543265,0.500930541934619,0.435916843658774,0.943373124764097,0.818736542449942,0.976163790753066,0.745760648227552,0.702307110978737,0.79202306312708,0.670085841558483,0.557803888816522,0.550527226047608,0.970865974456104,0.850870108778669,0.99210337350733,0.741906408332619,0.674224226828231,0.793791175868497,0.138020967239957,0.311471045933418,0.130313495203233,0.19811977765291,0.306495008285181,0.235303094214602,0.308235282411416,0.731288252614282,0.398103718898427,0.674540252120872,0.0591910307653386,0.444002607296235,0.323897884046649,0.154746272918067,0.119564476750539,0.160591412004268,0.224457407941443,0.266959922055775,0.293521020518563,0.586703374638092,0.440808024305509,0.587267205735827,0.513374533790282,0.335916462360886,0.584907651335513,0.429908589889585,0.226044656123715,0.661090329981062,0.443908637535688,0.554093388050404,0.536747293316218,0.734799649789225,0.528812053821912,0.752115457586527,0.930569557708159,0.749693993325343,0.885618020647808,0.915453642518046,0.955835779853537,0.94632936261156,0.987968051962813,0.976389046596012,0.962905977693822,0.92542116510488,0.904193012282867,0.883503243175357,0.953341382007434,0.943019484432844,0.968750065512766,0.987799376764173,0.913591677285277,0.980873540927102,0.916341705994986,0.953122483862921,0.882349957466527,0.923707474779973,0.957999893806577,0.952395841595824,0.968279517156727,0.978621907338656,0.959207974460789,0.0327944766197898
"A[Ins(C):R8]A",0.191517953862282,0.890715988068962,0.560850914620075,0.645730587125749,0.837000763452911,0.938238531819965,0.719512168948544,1,0.917776724526242,0.964409221630579,0.854431483370498,0.662440609853721,0.703515356203703,0.882728509509104,0.953348754851202,0.783415507512816,0.973516743817812,0.954716134028993,0.959662133394359,0.887926774455622,0.774019300338645,0.774450567246388,0.835358703153264,0.941478134145624,0.703178131997148,0.975959488708811,0.94515487036786,0.948129513143917,0.230162233436208,0.359620816621918,0.11220688627406,0.177885913019966,0.351651424067398,0.317230586418332,0.297225541783972,0.722652982619681,0.59121530349725,0.782801328195453,0.0903686022520726,0.610972283568943,0.351477302124368,0.162446136302284,0.126018121760228,0.150971042615821,0.214612830627223,0.299088074857289,0.261867227869718,0.677809084261251,0.665031249494619,0.69605317621043,0.540929135187926,0.381584866235615,0.771154399141486,0.337086673890374,0.173404758873175,0.463469968453074,0.377055344463917,0.442466230199327,0.457255571059932,0.626681544464794,0.658106542720684,0.707296997105407,0.452547312961235,0.854631486377116,0.354794599118739,0.413496286499521,0.624619682409691,0.493532707152226,0.6828277317143,0.62852939234994,0.550348947936265,0.438537888834567,0.7090963465026,0.348253867998061,0.5163624324455,0.697150061793423,0.734515983519116,0.671549289070587,0.861307109097583,0.680878694813792,0.417395103131413,0.628452904506432,0.345432433861388,0.431187484752492,0.556668198776502,0.5048580471169,0.554478710005807,0.633943278150605,0.534312681736055,0.0609153016543529
"A[Ins(C):R8]G",0.170943471023147,0.862334596702928,0.535844133930351,0.621078940291924,0.758288011231478,0.855873418838683,0.64872870967127,0.917776724526242,1,0.895387771328649,0.826703815436158,0.63982029196737,0.702897392333554,0.797588824116532,0.869519649860334,0.706593612481906,0.902627797448173,0.901281607577355,0.886785711110749,0.85132186370629,0.730602761638986,0.785241903575596,0.749013356826059,0.862969373676939,0.630945722335618,0.905878302186998,0.89254473601959,0.878817787124368,0.202836598694002,0.336563868582398,0.103693896479194,0.160131974345406,0.329660408008493,0.313635380963748,0.270401506485129,0.651207198062222,0.552021868898002,0.727176405238523,0.0851730392063719,0.581567474329144,0.335146619058243,0.158675037657292,0.107807170246109,0.143503847236074,0.201582289230156,0.26362289967741,0.231913057834786,0.619678853047502,0.601676025831124,0.63732543936434,0.515663219711309,0.367589163799499,0.693132409250257,0.300886733836098,0.149573364649297,0.430797673053878,0.343781975446208,0.417784462070094,0.413873491666946,0.574073625522429,0.611257170510011,0.643899082982532,0.402483538407975,0.777215867686188,0.314735402649513,0.364650445042282,0.564185093056011,0.438242656578384,0.607588734995474,0.563234101127651,0.487303862083159,0.385943946464373,0.624844411470293,0.307019239102566,0.458084183955099,0.614295414323734,0.657354296931665,0.598974879895587,0.781510548504217,0.603321279123593,0.367143970533383,0.559252214478951,0.304648341248287,0.382630586722183,0.495906276975947,0.446729264086011,0.490856356860607,0.564878424854833,0.47816279702628,0.0528339824915425
"A[Ins(C):R8]T",0.184841759126224,0.873039256602129,0.53963273742849,0.616712302998029,0.850516780038615,0.933140944762368,0.747441695117298,0.964409221630579,0.895387771328649,1,0.839120418629158,0.65258056029948,0.694527486323154,0.888453792507624,0.939152394165926,0.805081326141671,0.948804619969564,0.931789865163069,0.944764227751746,0.881819801276972,0.764104830225883,0.760174689818999,0.848913235913969,0.932462845436735,0.736577609313437,0.956636201003584,0.920237996666234,0.943355406322718,0.220147553740365,0.352259032754571,0.121866387365418,0.178457321185232,0.348696642428482,0.3057246546193,0.302219583865246,0.719036592496955,0.568135562459597,0.776971405133317,0.090271357300176,0.604359386680928,0.361675424515846,0.160181809495936,0.12514830946147,0.151736079062997,0.216708377703426,0.289680647416633,0.270074531153671,0.664556952800072,0.644010663857065,0.683291096883453,0.561466221720347,0.378924924951854,0.74256052319437,0.351639011452802,0.183535992459093,0.48279163262381,0.388345086693193,0.462999251888787,0.471331017309039,0.642423976968679,0.644584017519094,0.715460224549147,0.501107650862539,0.842053753171399,0.409504092185755,0.464503370348761,0.650240508819857,0.537543426115564,0.711852996482519,0.664584486731206,0.592768766687647,0.486592334101358,0.728621133481887,0.402937226826151,0.560474327003831,0.72285125299875,0.752909638625555,0.701631755777198,0.861233710927971,0.706884411059607,0.467996616481294,0.661418997340019,0.400453724798159,0.4829733371936,0.5968332935815,0.54901571343697,0.596890195999065,0.667834521069397,0.578388573278183,0.0611893262536962
