"","A[Ins(T):R0]G","A[Ins(T):R1]G","A[Ins(T):R2]G","A[Ins(T):R3]G","A[Ins(T):R4]G","C[Ins(T):R5]G","C[Ins(T):R6]G","C[Ins(T):R7]G","A[Ins(T):R(9,)]C","A[Ins(T):R8]C","A[Ins(T):R5]C","A[Ins(T):R6]C","A[Ins(T):R7]C","G[Ins(T):R(9,)]C","G[Ins(T):R8]C","A[Ins(T):R5]A","A[Ins(T):R6]A","A[Ins(T):R7]A","A[Ins(T):R5]G","A[Ins(T):R6]G","A[Ins(T):R7]G","G[Ins(T):R5]G","G[Ins(T):R6]G","G[Ins(T):R7]G","A[Ins(T):R(9,)]G","A[Ins(T):R8]G","C[Ins(T):R5]A","C[Ins(T):R6]A","C[Ins(T):R7]A","C[Ins(T):R(9,)]C","C[Ins(T):R8]C","G[Ins(T):R5]C","G[Ins(T):R6]C","G[Ins(T):R7]C","C[Ins(T):R(9,)]A","C[Ins(T):R8]A","C[Ins(T):R5]C","C[Ins(T):R6]C","C[Ins(T):R7]C","A[Ins(T):R(9,)]A","A[Ins(T):R8]A","G[Ins(T):R0]G","G[Ins(T):R1]G","G[Ins(T):R2]G","G[Ins(T):R3]G","G[Ins(T):R4]G","A[Ins(T):R0]A","A[Ins(T):R1]A","A[Ins(T):R2]A","A[Ins(T):R3]A","A[Ins(T):R4]A","C[Ins(T):R0]C","C[Ins(T):R1]C","C[Ins(T):R2]C","C[Ins(T):R3]C","C[Ins(T):R4]C","C[Ins(T):R(9,)]G","C[Ins(T):R8]G","G[Ins(T):R(9,)]A","G[Ins(T):R8]A","G[Ins(T):R0]A","G[Ins(T):R1]A","G[Ins(T):R2]A","G[Ins(T):R3]A","G[Ins(T):R4]A","G[Ins(T):R5]A","G[Ins(T):R6]A","G[Ins(T):R7]A","G[Ins(T):R(9,)]G","G[Ins(T):R8]G","C[Ins(T):R0]G","C[Ins(T):R1]G","C[Ins(T):R2]G","C[Ins(T):R3]G","C[Ins(T):R4]G","A[Ins(T):R0]C","A[Ins(T):R1]C","A[Ins(T):R2]C","A[Ins(T):R3]C","A[Ins(T):R4]C","C[Ins(T):R0]A","C[Ins(T):R1]A","C[Ins(T):R2]A","C[Ins(T):R3]A","C[Ins(T):R4]A","G[Ins(T):R0]C","G[Ins(T):R1]C","G[Ins(T):R2]C","G[Ins(T):R3]C","G[Ins(T):R4]C"
"A[Ins(T):R0]G",1,0.335781945905113,0.391626439831956,0.498286979750368,0.624010799412342,0.831465538103284,0.591874581018561,0.445606510143257,0.639424672115265,0.56296047479122,0.751677820611148,0.728098915826909,0.562522257843959,0.667730566771997,0.587723802043782,0.67927846334082,0.701807863396581,0.587072551306637,0.744704735838901,0.635881508668979,0.489066349799377,0.766524344476627,0.604303208712336,0.498964334200719,0.583047370139237,0.53197974657069,0.780576797502125,0.638502667449724,0.46391454764834,0.676247903919984,0.643278392423434,0.728923874533002,0.716127764289115,0.614623709941709,0.604495552076304,0.584012726639238,0.803534739972474,0.658504777469908,0.472847797990199,0.596682112913806,0.575113839355106,0.503836197789398,0.308600307493787,0.303292547294425,0.355633383833968,0.311566916626475,0.439760310251453,0.2781479027046,0.3581400223432,0.525218968023973,0.530082746191986,0.425887587178342,0.543986259602891,0.372086288446178,0.648922300357294,0.564912690787702,0.602997443313944,0.588039425958565,0.609414363364086,0.551752675280519,0.165242361530485,0.128430227217224,0.170923986610801,0.246454343181225,0.325963079114204,0.741150231068411,0.706598207713967,0.566138594084368,0.578085818709546,0.527822220949923,0.631425015813972,0.201157489957096,0.309153528160589,0.542203057992988,0.849936585131919,0.451857755655935,0.31892120974061,0.317865687085247,0.441090117282689,0.193951395684328,0.33703781516908,0.261352989059981,0.300149435365982,0.721374372941629,0.836860703432171,0.304143883063887,0.101816304454092,0.205162662947376,0.299267970663174,0.150573153113772
"A[Ins(T):R1]G",0.335781945905113,1,0.807172955392453,0.800705718147399,0.351408828033542,0.284801195951674,0.278298952632745,0.233823032244746,0.247832532187849,0.253502404139891,0.266715997037388,0.273667884319113,0.25437212422349,0.25878836110989,0.268839081226116,0.238139008619415,0.251255158241635,0.257005368221015,0.288227769400058,0.279476094944269,0.258016667254661,0.311397890653978,0.278328140784351,0.261771197828269,0.244809810777743,0.26145785864931,0.230035562621132,0.247272074812664,0.226436307305569,0.240789963258786,0.260452618254968,0.244719245376827,0.276311299663653,0.274732296502548,0.242044516333573,0.262416778146899,0.241510978324691,0.272169493787375,0.217001087412997,0.241511046480837,0.262022786206551,0.667477820658315,0.793729895622041,0.788217954560846,0.794129692558736,0.282439110638193,0.299764694614563,0.582421842303585,0.430030488525592,0.428046456014842,0.227931836729945,0.402001557789794,0.631719386924512,0.367279266554816,0.375036305001821,0.196731199778292,0.242693304817465,0.264855387411671,0.259215229464822,0.263399888926129,0.338372590937463,0.428926829304005,0.534944362417068,0.499302468391404,0.191823585867364,0.258371138807424,0.263931873686017,0.262141749998114,0.256587584928456,0.261263880311678,0.62272281303259,0.868918256465617,0.588711096569146,0.660746454933884,0.302450721831236,0.549501685828091,0.614524660052991,0.491588577550725,0.449718858718741,0.111628340016682,0.617077370588434,0.505608779352454,0.375188346791658,0.424019075515083,0.242439040995578,0.432688024119259,0.534918273925713,0.459721046718743,0.385841232107534,0.125377959258058
"A[Ins(T):R2]G",0.391626439831956,0.807172955392453,1,0.931629063348284,0.523193039420126,0.377238938312209,0.494540042793713,0.433499599965799,0.407932244561969,0.444044865360058,0.391659452381659,0.434358761520113,0.44372396731547,0.44554731810939,0.494890067785806,0.33629305473245,0.371183353434269,0.441795402443742,0.421075869597532,0.475813912452544,0.484535190761523,0.460263721261437,0.512845206841203,0.505571880725393,0.437548174768763,0.494626173085322,0.275586734423336,0.38297243955982,0.403196409195952,0.375132311788351,0.434291166479008,0.330399836984835,0.456502068986784,0.494778540911602,0.411783584024455,0.465227245885624,0.302240065806684,0.457596681959114,0.368339124307721,0.411973368866015,0.473151496326694,0.84068156739584,0.766714471694356,0.940386177278539,0.927666018864245,0.458430183675544,0.489019869202876,0.455494104442988,0.571827403155827,0.577963506144413,0.33698949514277,0.49174819879542,0.567344291690102,0.63411850197553,0.585183078653169,0.245704513807,0.422578018020578,0.481181861828661,0.468977168416049,0.494532707844568,0.353124244611948,0.349273223242332,0.514824109728527,0.554790589608129,0.278402286517544,0.359286275172128,0.412064674858138,0.469815807816451,0.4832987150179,0.51284048436818,0.691016795500526,0.810773557554971,0.885140520670773,0.899861172022898,0.38774646982035,0.610017938354977,0.36737471234886,0.515812175368475,0.593853123769936,0.170691302259613,0.668705145457045,0.465561228518729,0.644341519315009,0.585013167471638,0.288633065182552,0.459944897438732,0.31117979564986,0.469824959500316,0.603451440306187,0.176457207617227
"A[Ins(T):R3]G",0.498286979750368,0.800705718147399,0.931629063348284,1,0.608886251847351,0.510043857637949,0.575709880638022,0.495155614523209,0.493910391203208,0.527590930264268,0.513996907351019,0.549814594386379,0.529033013676135,0.526437912863027,0.57538436552303,0.453461979998937,0.492689972486918,0.535305386675668,0.537547955911661,0.568201448153743,0.550343206066504,0.573360099994909,0.593177745733692,0.570481549898157,0.503744822389167,0.562244257466545,0.415288831956312,0.488349830238995,0.476306158156893,0.468346836949746,0.531489904301454,0.455467209062594,0.566733197652663,0.582657754622816,0.488706724770766,0.551217448885297,0.438071632657798,0.554218613551356,0.440496242509717,0.489074776605193,0.556158774531591,0.825686556615632,0.745467624213349,0.892614732892193,0.902889057455505,0.493955358400669,0.538989191025159,0.49455460571228,0.592389995430748,0.632690577826172,0.420772677734586,0.515578000689315,0.622089347597484,0.637793134077221,0.648201034761388,0.343506510457856,0.494682361360912,0.560896685261447,0.540762807147609,0.569646616780672,0.341127845566344,0.346581354649826,0.501169926122134,0.563654400332886,0.327538933918669,0.485752568578246,0.531003073398028,0.557210487665253,0.543425354501356,0.574631436391839,0.729930659495122,0.766927849022905,0.83761441830757,0.908688865940969,0.514251316604804,0.632825959086296,0.418405694225422,0.545043279262825,0.636469532587057,0.206209140673081,0.664658003264557,0.482290818249826,0.635952501089224,0.665038413711164,0.426836784540632,0.453283157450019,0.332864067936214,0.475100531921862,0.599567810892186,0.202327829237273
"A[Ins(T):R4]G",0.624010799412342,0.351408828033542,0.523193039420126,0.608886251847351,1,0.861485328741782,0.958983359568647,0.949637176189101,0.896019730605565,0.957595343326061,0.892752212706545,0.877161848752933,0.966333432494884,0.837514201293362,0.888066089187715,0.913221396649489,0.867752654162024,0.944472821000546,0.91880479594293,0.936624685555005,0.940104242564732,0.913396300357869,0.85375447113519,0.894047740455971,0.898334068542578,0.917972094927849,0.784064417473724,0.959043152853956,0.948719433677978,0.868914835219535,0.931777325337239,0.890172548592889,0.838446700289837,0.908582564150311,0.894543740470358,0.933880167041395,0.826695265291427,0.965094718597787,0.946402942128685,0.910346969697833,0.926751556851414,0.64820255673595,0.332195749136736,0.474004330921407,0.516119074748107,0.893074851656909,0.722723807539473,0.530066529169326,0.720421345157997,0.832689523636322,0.938407000074662,0.554051255827402,0.638798965279023,0.644793147500875,0.734110102405066,0.871056524349149,0.901457420350083,0.919789460883037,0.853110653544594,0.8679305488569,0.188659001902391,0.194679536504698,0.382668482512179,0.486453094494024,0.827880397278651,0.881734556599973,0.861251317431701,0.924026523432809,0.849100522503476,0.843964459586018,0.583492611605598,0.197601165582164,0.573365822344993,0.695433771506544,0.863088233833361,0.498891396472642,0.35995886400453,0.541265856456403,0.704805099429933,0.739633905647819,0.420661976977035,0.612520314357134,0.611926943776562,0.782585138934124,0.805873810730648,0.312661822984072,0.18634119094586,0.380684925355942,0.581500725218286,0.709350803592366
"C[Ins(T):R5]G",0.831465538103284,0.284801195951674,0.377238938312209,0.510043857637949,0.861485328741782,1,0.837836692848706,0.736289644701684,0.880732588384537,0.843028980913425,0.972300810657017,0.947799487761511,0.84902941896785,0.854934799771776,0.802120986661206,0.948434375940671,0.95667203119472,0.862076007974523,0.966982372532729,0.885846896862147,0.759140709887017,0.961718817840211,0.792586536187558,0.735037272160095,0.814743877865354,0.778075431319766,0.970765542799583,0.916643874824407,0.758694908377314,0.900784562381591,0.903108283802987,0.9679002056783,0.907165573282774,0.841299289583729,0.840876741899898,0.841392240930458,0.983820919637572,0.903571634500732,0.775319065999814,0.846337630433308,0.827183241391109,0.509998525245721,0.248577067017827,0.297451153855981,0.363677841375073,0.598569783848158,0.599063945947281,0.405124861676873,0.522648168608159,0.682496545047191,0.79187660024508,0.496672304069629,0.615945832322815,0.485118898768195,0.73740534727988,0.823506980957293,0.82934440490543,0.823010820689087,0.805931709506656,0.765878391223578,0.134255965750825,0.124089540804124,0.229571087739865,0.338954322231695,0.585214286383136,0.973768637085913,0.938559911387464,0.822375926747249,0.768956256651526,0.723165259706383,0.618366778912267,0.119471020745417,0.367630534325473,0.592873006780096,0.982316130959074,0.456388259208783,0.354216318625036,0.41976136248654,0.571800383836322,0.492016082632328,0.34114685667689,0.422185390935653,0.41761651813288,0.807338096263276,0.965623633701393,0.289276216053463,0.125751967857151,0.263000771281189,0.408256642499727,0.438119360385468
"C[Ins(T):R6]G",0.591874581018561,0.278298952632745,0.494540042793713,0.575709880638022,0.958983359568647,0.837836692848706,1,0.951076120148146,0.918399847649668,0.978785009924609,0.900324088547661,0.915355955930242,0.979706942775813,0.895138833692456,0.963553023714027,0.885738449326465,0.881391116676789,0.974225237374955,0.917025785927121,0.978446393781413,0.980934960044788,0.926896249971957,0.946090280247948,0.967452103729088,0.925747723373431,0.977325892528092,0.744809833540395,0.933925493577134,0.942419784288842,0.882006274669796,0.96109189584235,0.861960408383686,0.905665201461514,0.973507576183013,0.917216328177616,0.979205038263245,0.787817104926256,0.978679722947755,0.91210501845946,0.927585242594534,0.979486347984655,0.638899283592222,0.268271536414683,0.447348825696042,0.494027667346648,0.852613747207431,0.787493489416004,0.512423560349241,0.742416310419663,0.85872387234836,0.873968009448448,0.547749974762886,0.599955913823446,0.702380527589433,0.766528289718498,0.772590633416684,0.923814993160404,0.976901879335763,0.919849864524438,0.952658446872452,0.160356367261438,0.171486564169175,0.355347562907135,0.486953992388815,0.743688787798499,0.870300987045782,0.901585516889952,0.976228657778514,0.91866738372272,0.938801501731881,0.549819220288443,0.106296111396506,0.596223188274518,0.696364121824561,0.813641041701014,0.459016406719199,0.320659980509185,0.556966720424034,0.738219785013603,0.632528238453475,0.387262566683079,0.506261797451517,0.661451474739805,0.779082790105294,0.747354031141803,0.281619514096244,0.150889608379848,0.378878946863706,0.620357643471139,0.601885773027389
"C[Ins(T):R7]G",0.445606510143257,0.233823032244746,0.433499599965799,0.495155614523209,0.949637176189101,0.736289644701684,0.951076120148146,1,0.878577674247535,0.970028153064364,0.803578247236301,0.798370604328048,0.971988485204241,0.811216704213614,0.895534279729523,0.852712780994264,0.79091784339045,0.941586390941077,0.837655278158333,0.910242764504059,0.975549562079612,0.829778607678674,0.840153910173432,0.9278594240896,0.910830882928279,0.94556567748494,0.653598360446873,0.923881587197108,0.989190748141393,0.834846643554074,0.91351424901074,0.809739607187795,0.764575120394463,0.895828375288489,0.896708596787339,0.941128905034651,0.704440876358647,0.93288026038233,0.97730177932813,0.913462729162551,0.937420780558864,0.59627189079794,0.236519457139946,0.406320816750278,0.43767973607137,0.955827752708441,0.734141778148052,0.506736457616743,0.729521829072432,0.813058056281658,0.942930837458922,0.521131868574,0.550548312202043,0.636069032352915,0.648255658288572,0.839734017383289,0.909386723688437,0.93075568977083,0.85494431696491,0.885878237614746,0.15574165531299,0.158447633433093,0.356779177000092,0.457941270678908,0.887639680058948,0.792269970029554,0.788096195170887,0.930066035342243,0.864442420318795,0.871879955937966,0.467174938493031,0.088312750522265,0.542246165358858,0.600960097997523,0.733276335947261,0.413649500210295,0.286519223998398,0.514314601159291,0.667684003620615,0.812039104116897,0.360932124105052,0.603651873388635,0.61565004640186,0.670760588315832,0.672636476247474,0.248997093893304,0.143384139230368,0.350802189518622,0.571435160469619,0.793781007674908
"A[Ins(T):R(9,)]C",0.639424672115265,0.247832532187849,0.407932244561969,0.493910391203208,0.896019730605565,0.880732588384537,0.918399847649668,0.878577674247535,1,0.950550055752106,0.92020376410601,0.921567444574012,0.939178872855565,0.975718719587389,0.913230895243829,0.927671948446585,0.923230823677443,0.932249991932146,0.930578244370136,0.94344654936245,0.896270192711455,0.9301065315029,0.871050281797895,0.87101952400879,0.984090618393984,0.922450437329914,0.833576095244121,0.92846461424305,0.878775609017604,0.991604816479154,0.970955993801357,0.922327308526478,0.895295979116422,0.914408423751453,0.990148643262167,0.945740088044864,0.863877909544475,0.944440518480318,0.88200058207701,0.992943015529579,0.939215715249019,0.619627895854478,0.251161054369211,0.358450533170459,0.410461110789065,0.757303195828794,0.754462538930551,0.491286697305416,0.675942192472268,0.788750431343461,0.848106081065089,0.584014968114601,0.625164976571645,0.597994760729709,0.733075280713029,0.821098131112083,0.984478079390156,0.937670664997518,0.961987523401472,0.895162316987146,0.168244258943445,0.156873617359614,0.305016216588258,0.429409275337661,0.70916006082495,0.916562217801028,0.911853117435566,0.909715972267136,0.94610716700689,0.873339927967785,0.608379810763777,0.0945939006445639,0.470560326438946,0.611650400992924,0.864268080290918,0.505142233568511,0.340432766656496,0.483879467989548,0.630669568242167,0.620229418097702,0.394824486402309,0.501116468886924,0.544288401262227,0.760628692980416,0.816043278413322,0.299569713243212,0.140841871081941,0.320752112154553,0.514107684480215,0.586329120114301
"A[Ins(T):R8]C",0.56296047479122,0.253502404139891,0.444044865360058,0.527590930264268,0.957595343326061,0.843028980913425,0.978785009924609,0.970028153064364,0.950550055752106,1,0.904513831803274,0.909172649181202,0.995335673873153,0.909691960280107,0.955260836954529,0.920845715187338,0.899834273881407,0.985318931887017,0.922433417080507,0.97245347959961,0.979704390811027,0.921158998386442,0.911159703277227,0.950928458561529,0.95563774911912,0.976955099918796,0.776122447795393,0.960978081628878,0.968026208241411,0.918934269157395,0.9801730744463,0.894646963474922,0.884214646023815,0.959735584426541,0.950338227737621,0.98625014310385,0.812251740482062,0.977665848328549,0.95213805800165,0.961978992483583,0.983477553641366,0.623360393557986,0.248486663647704,0.403512009063809,0.447784611441033,0.878718598799257,0.779592972233687,0.510596206894937,0.726477776204686,0.836326751455251,0.914399259718543,0.553440569348979,0.598334078531134,0.648617316897096,0.722329451752298,0.835516268507311,0.955082858086642,0.977547056908704,0.92912956186403,0.941125605469483,0.158971054835379,0.159218181337554,0.337674168385772,0.460950306203491,0.799617259150736,0.891991266593241,0.902132842093806,0.973818939158399,0.926511463899334,0.920860098379871,0.543932768409214,0.0906171637178935,0.533991422237631,0.640112957654727,0.823994517656739,0.459735118846161,0.317486390769212,0.518507470344914,0.688843518704415,0.706655656594194,0.38257688763957,0.54446782908104,0.607292255009109,0.74656685614512,0.771550943592448,0.276305601946984,0.144750629886055,0.350273574489961,0.570905566008101,0.677667531922986
