"","Ins(5,):U(3,):R1","Ins(5,):U1:R1","Ins(5,):U2:R1","Ins(2,4):M","Ins2:U1:R0","Ins2:U2:R0","Ins3:U1:R0","Ins3:U3:R0","Ins4:U1:R0","Ins4:U2:R0","Ins4:U4:R0","Ins2:U1:R1","Ins2:U2:R1","Ins3:U1:R1","Ins3:U3:R1","Ins4:U1:R1","Ins4:U2:R1","Ins4:U4:R1","Ins(5,):U(3,):R2","Ins(5,):U(3,):R3","Ins(5,):U(3,):R4","Ins(5,):U1:R2","Ins(5,):U1:R3","Ins(5,):U1:R4","Ins(5,):U2:R2","Ins(5,):U2:R3","Ins(5,):U2:R4","Ins2:U1:R2","Ins2:U1:R3","Ins2:U1:R4","Ins2:U2:R2","Ins2:U2:R3","Ins2:U2:R4","Ins3:U1:R2","Ins3:U1:R3","Ins3:U1:R4","Ins3:U3:R2","Ins3:U3:R3","Ins3:U3:R4","Ins4:U1:R2","Ins4:U1:R3","Ins4:U1:R4","Ins4:U2:R2","Ins4:U2:R3","Ins4:U2:R4","Ins4:U4:R2","Ins4:U4:R3","Ins4:U4:R4","Ins(5,):M","Ins(5,):R0","Ins(5,):U(3,):R(5,9)","Ins(5,):U1:R(5,9)","Ins(5,):U2:R(5,9)","Ins2:U1:R(5,9)","Ins2:U2:R(5,9)","Ins3:U1:R(5,9)","Ins3:U3:R(5,9)","Ins4:U1:R(5,9)","Ins4:U2:R(5,9)","Ins4:U4:R(5,9)"
"Ins(5,):U(3,):R1",1,0.152489820829397,0.169859038062434,0.367613898188088,0.322824521513924,0.328259596407957,0.252458796117776,0.336286774736986,0.155783519387141,0.187593649099231,0.390884631545023,0.417458411816817,0.379442979707118,0.205468363633613,0.322270520070179,0.139932886548085,0.193307558481971,0.268976363075662,0.447556035250146,0.325816900125776,0.317992251306269,0.0906478871034118,0.164636283868201,0.241343133459067,0.171140102905472,0.220112047402143,0.218281515889836,0.325446399835617,0.330776145594826,0.278514351332915,0.320388817793505,0.272940366666306,0.188646071663834,0.230354408978043,0.188744935814295,0.256280838305341,0.336988470821617,0.204236730922479,0.186461647158901,0.125912080383098,0.26644078763603,0.186470480017305,0.26345607597187,0.235093209040386,0.165179782661744,0.376019242512084,0.289816092280647,0.281370740780681,0.372242163527857,0.245875731495469,0.269278684776201,0.260193123034933,0.147014490281897,0.114241838842036,0.204214659394587,0.0924800519779863,0.238054677588771,0.110511969706358,0.130524465427436,0.302278400318311
"Ins(5,):U1:R1",0.152489820829397,1,0.121480489326274,0.190119941544002,0.231581538398334,0.201406652723722,0.166297086796609,0.196854425692389,0.108864675815665,0.142125157411512,0.235858639322581,0.200173211198943,0.167676818152655,0.144839534445222,0.1075530941897,0.080012887789152,0.107779718963977,0.0968100916506162,0.155472843390548,0.142496409809643,0.133421746776601,0.112022836362421,0.122611275994535,0.114826051971902,0.140582516959364,0.137982792089395,0.104820473642204,0.141259703522049,0.153104006833525,0.0996479454464131,0.163925405155401,0.149095079953923,0.0828587384861014,0.0960200834482945,0.0983857814374514,0.0911106938907325,0.126002038961647,0.0727627954082941,0.0636052630457512,0.0725505024533297,0.09223000014405,0.089849753808487,0.15477519767333,0.149898828936472,0.0726896326994593,0.163397685785824,0.120207098698915,0.106716378565758,0.216981090071554,0.384088980991409,0.112237052314549,0.165743177753343,0.0573519626691317,0.0928198092614812,0.0973263258851307,0.0662860856575663,0.103738056759393,0.062028137404776,0.0477918570013742,0.114965012213429
"Ins(5,):U2:R1",0.169859038062434,0.121480489326274,1,0.555458461999659,0.359975814881421,0.432902465367575,0.27125021050167,0.426837142878,0.136349669460641,0.252919787665882,0.381676328694391,0.343085483049746,0.382056205215781,0.171251489469149,0.122131042053032,0.203127618754167,0.22239526135757,0.12806790903301,0.377679090163559,0.29144423147183,0.306255383036744,0.0696016405616257,0.220386136451516,0.200324634350505,0.42899915565505,0.446306019441632,0.479224551739607,0.24280428106982,0.315169229455217,0.290047389610915,0.51557375848944,0.489074140954371,0.343168034247703,0.0912405020228127,0.145850465726912,0.18576790408637,0.275332533154443,0.32137267248756,0.287673334965492,0.121041106522114,0.109846522087168,0.109078777672064,0.429552178266829,0.509038151270276,0.355152221304514,0.462908972784772,0.408861992585181,0.35273494461636,0.538677620357473,0.215806375629652,0.327550261486815,0.437474067856014,0.283236072176399,0.249348236652529,0.380418828444832,0.195637761017612,0.366368287936586,0.198904115840158,0.262446415253274,0.343370112524886
"Ins(2,4):M",0.367613898188088,0.190119941544002,0.555458461999659,1,0.671858808878727,0.836355943156483,0.489972923464317,0.81477765576826,0.212444943086286,0.433870622673105,0.733970371527099,0.686171456041096,0.74139567379473,0.293962144895226,0.24904069433183,0.280963224238648,0.407040724059756,0.244420548323183,0.674211217690124,0.696726245707121,0.672011033500371,0.114355501960273,0.332636364024059,0.325967018989604,0.650393491627475,0.781677993564435,0.787651603633255,0.504985589575315,0.578627487568118,0.610724120171855,0.888316851081304,0.922569619371548,0.727883950314357,0.244152294280828,0.279648840813097,0.328756061751921,0.451404288478097,0.653163350860671,0.659107497985432,0.215536297191869,0.257710472172875,0.249440479390175,0.649346369748423,0.79614591600643,0.690560710818083,0.766946432718527,0.795987338306487,0.783101016075421,0.963564292509389,0.317746152339761,0.800800353882954,0.839360554804697,0.631729485549586,0.52430363013188,0.783114591884283,0.442689276528216,0.817091584248531,0.45484333263937,0.590437021685325,0.802220627970404
"Ins2:U1:R0",0.322824521513924,0.231581538398334,0.359975814881421,0.671858808878727,1,0.786644009919608,0.615936632010865,0.711723810692309,0.24262913957207,0.440265106154385,0.698348762658508,0.695147178999506,0.574768638142999,0.3914020774886,0.207839303351023,0.298290998246588,0.361884855195624,0.187916781055205,0.507462978126714,0.468679096783427,0.448147644265075,0.194769671067709,0.269609879563439,0.316802334963583,0.4494932092326,0.481937618238213,0.502778243234745,0.518029101395672,0.539237592378384,0.562927864273067,0.589315847139059,0.650406578678474,0.550548578644802,0.285127170554901,0.314503794121894,0.292608524134207,0.322641561298256,0.485505842189145,0.48938249256477,0.257918916820915,0.28222504555163,0.208180186812104,0.420290936868725,0.482874674763627,0.485512200723722,0.512913692972796,0.549410907575028,0.544589387651863,0.697381704729809,0.302824758778982,0.534774076305681,0.639855308014793,0.481655065660728,0.617659173048847,0.577730169116854,0.543350926101521,0.561923221630092,0.50269658075707,0.459665098798393,0.530524626539061
"Ins2:U2:R0",0.328259596407957,0.201406652723722,0.432902465367575,0.836355943156483,0.786644009919608,1,0.616734859261947,0.864215408171542,0.183761127994238,0.45157994388536,0.801401357999532,0.677082026914771,0.7861854325689,0.337450651990791,0.26533439486133,0.322491202181126,0.396346052586784,0.236288381678786,0.60174978578149,0.629274652022626,0.615540099136349,0.158416175756655,0.298833906553534,0.301732417970366,0.575098490295367,0.617147286234095,0.730702316833363,0.590679865571439,0.594929550970278,0.791511056603452,0.785353368212587,0.878323525788554,0.859495345444388,0.279706921404904,0.371017186729392,0.364953051976059,0.411452062863747,0.789047789951346,0.809866772517352,0.247001045949826,0.208117556035354,0.238419148266112,0.542846528497353,0.637932097250662,0.805393100865296,0.643485433530869,0.807062119990065,0.817765274043816,0.874472904783982,0.350082406800233,0.760235019505512,0.821400196332936,0.801063257914333,0.799322364907419,0.876651859606813,0.760246084719605,0.831338443720143,0.75847598154823,0.787575588506306,0.741136611864517
"Ins3:U1:R0",0.252458796117776,0.166297086796609,0.27125021050167,0.489972923464317,0.615936632010865,0.616734859261947,1,0.538368169103354,0.185736665241257,0.360503667044506,0.536627468085269,0.461835890251932,0.435008707852168,0.313237911694211,0.134272203284245,0.227689056867522,0.291840621234886,0.114129348161301,0.364806026767283,0.347046824176424,0.328658635037116,0.151616116450469,0.217998691561802,0.219255058482854,0.312001827247702,0.341310679076447,0.36729571092756,0.369004032477135,0.373392021425248,0.458939274426776,0.420990932437278,0.494538208185984,0.454655444561926,0.220084590299196,0.25823722417874,0.243681061059008,0.210104548245285,0.40584553020057,0.418574894184669,0.213436853516036,0.210707002579718,0.144069746193008,0.295426158322298,0.351397712400174,0.427512495416583,0.355637605760368,0.425506116049346,0.428506613491089,0.5189085704294,0.23349895269482,0.389604738262537,0.509197716718544,0.41145805555473,0.544114350488359,0.461535408256075,0.510732568646656,0.428638244052951,0.485392445302755,0.412359482436301,0.375062056213879
"Ins3:U3:R0",0.336286774736986,0.196854425692389,0.426837142878,0.81477765576826,0.711723810692309,0.864215408171542,0.538368169103354,1,0.17328552027179,0.418587667098238,0.755060324142272,0.625896531877385,0.75196028065467,0.308797738596995,0.297217342532979,0.287478818328098,0.362283723267045,0.282124074336242,0.61357092241258,0.602285572159868,0.584862406421463,0.144239071775554,0.290632063389643,0.286990955380962,0.551765850236401,0.627421007192163,0.707746060345048,0.524242059315493,0.528375016480413,0.678940589594267,0.77546278546037,0.823693501542085,0.758910437642167,0.247053338113897,0.311051010621671,0.330392067321176,0.428921739310968,0.698664460608551,0.713761529982963,0.206127465513847,0.191800413693779,0.230123673570996,0.564427077922583,0.646362784963785,0.732504802494079,0.643047997838889,0.751971306142239,0.744594723086035,0.837117252920614,0.343489103513646,0.720506912610533,0.775901739059111,0.705397489561875,0.637488678880595,0.787287570679292,0.598787723058344,0.766214028346772,0.611455548977366,0.686966115935031,0.693377666250892
"Ins4:U1:R0",0.155783519387141,0.108864675815665,0.136349669460641,0.212444943086286,0.24262913957207,0.183761127994238,0.185736665241257,0.17328552027179,1,0.155513648163955,0.22629957503608,0.245040600826653,0.142974686754891,0.138707147903686,0.0783309099349088,0.12687627017564,0.132910382803124,0.0709702599731929,0.145103413453572,0.128857478335728,0.106919156025431,0.0850752667500336,0.116459518591289,0.176640184126993,0.122245045542911,0.132795899795316,0.124267463651659,0.134997581631706,0.168647811660562,0.102923859756591,0.1548960501284,0.149662951374505,0.0757108281173325,0.109142930382625,0.098753764902134,0.0794108952596135,0.107871487710701,0.0618206023897449,0.0568139771656693,0.194594079882557,0.261194998851117,0.102057531003384,0.142111421415614,0.160852595736105,0.083453862315623,0.152944545911954,0.113511144124204,0.109994041420029,0.218203045819932,0.15912203255635,0.121024673450354,0.16953243883495,0.0587796700563945,0.0971463195822499,0.0842902074899872,0.0729526477661784,0.0969687944307147,0.0679010212748697,0.0471258331361302,0.119203733231486
"Ins4:U2:R0",0.187593649099231,0.142125157411512,0.252919787665882,0.433870622673105,0.440265106154385,0.45157994388536,0.360503667044506,0.418587667098238,0.155513648163955,1,0.421721372637379,0.389774129441228,0.374386188901544,0.237970736774997,0.196851895949591,0.144106426893754,0.231033226312153,0.195658115957644,0.291702216542266,0.286282069726175,0.259310898892921,0.13245769757745,0.185422977615743,0.238774411647515,0.245188974553286,0.286159121817879,0.268914009194166,0.292010995871939,0.350506201980838,0.33282818171843,0.377974166374279,0.382722936799015,0.305197791963748,0.173479848683381,0.203256305806017,0.205286454245892,0.232493614904816,0.253303953923032,0.258528532098331,0.173569314367854,0.208999594602581,0.117745084783535,0.298343276314017,0.309999721935189,0.253768736123067,0.32366876536533,0.291583638147545,0.290374299260298,0.446458047518412,0.203708284026777,0.286763533665952,0.426970446656241,0.255912451458492,0.370735763736009,0.325866328032533,0.314666064545527,0.304656375138583,0.284590366051742,0.242512335096508,0.282200212937645
