"","A[Ins(C):R4]A","A[Ins(C):R4]G","A[Ins(C):R4]T","G[Ins(C):R4]A","G[Ins(C):R4]G","G[Ins(C):R4]T","T[Ins(C):R4]A","T[Ins(C):R4]G","T[Ins(C):R4]T","A[Ins(C):R5]A","A[Ins(C):R5]G","A[Ins(C):R5]T","G[Ins(C):R5]A","G[Ins(C):R5]G","G[Ins(C):R5]T","T[Ins(C):R5]A","T[Ins(C):R5]G","T[Ins(C):R5]T","A[Ins(C):R6]A","A[Ins(C):R6]G","A[Ins(C):R6]T","G[Ins(C):R6]A","G[Ins(C):R6]G","G[Ins(C):R6]T","T[Ins(C):R6]A","T[Ins(C):R6]G","T[Ins(C):R6]T"
"A[Ins(C):R4]A",1,0.563971850368664,0.991351638131799,0.9975333682417,0.840042342304722,0.990698476706838,0.997486725803763,0.942267907470244,0.990435216052202,0.99686275367833,0.938883004015261,0.991608879611028,0.989258084670788,0.886657363382365,0.890007643611262,0.997553820053901,0.98035883993592,0.993273077136046,0.941254827488862,0.960532042331764,0.978989978289057,0.948426293002365,0.749877603886032,0.930845828747347,0.985520578251378,0.961134681453386,0.98625873094963
"A[Ins(C):R4]G",0.563971850368664,1,0.474944321488963,0.547054426586708,0.830910410552338,0.468612774783235,0.525504450273058,0.742525068526233,0.463649696489513,0.523893832409317,0.730874755668665,0.593785611040893,0.615806608958938,0.771218601001196,0.776377864781368,0.539761496611309,0.647976429178537,0.596073977940723,0.727311633095166,0.696167716406151,0.628773896900435,0.725340575417826,0.84177433264777,0.733506456859962,0.628704649444837,0.705141519585281,0.611770179670859
"A[Ins(C):R4]T",0.991351638131799,0.474944321488963,1,0.992503050106992,0.789563796535999,0.999395287600216,0.995497308722848,0.907399061515129,0.999467703025799,0.996212628363075,0.906717100658779,0.980178397219125,0.973674367011172,0.840927473824139,0.838758408197169,0.994254709404044,0.959985653584772,0.979991632078147,0.901263412231377,0.927984024619808,0.959748370559489,0.910328268555622,0.676174428278299,0.890295021216002,0.965789155217305,0.929005263275442,0.970204670033129
"G[Ins(C):R4]A",0.9975333682417,0.547054426586708,0.992503050106992,1,0.831848519971535,0.992321530826355,0.99872388305154,0.936434952825574,0.992070459776016,0.997433555573963,0.934627900150496,0.991793223075463,0.988730562688303,0.884910687565202,0.887121310732593,0.997548478773677,0.978440443126471,0.992674429202095,0.935517224100237,0.958392212192303,0.978619506539336,0.944027026477928,0.746179304708864,0.929201972230534,0.983557449275646,0.958550876948314,0.984734886663668
"G[Ins(C):R4]G",0.840042342304722,0.830910410552338,0.789563796535999,0.831848519971535,1,0.785609127856639,0.819500207791042,0.913295110406316,0.782093098760837,0.820403944187687,0.908241531912742,0.85774393316256,0.870358634711642,0.909411226251747,0.909523692121957,0.829617856675563,0.883974008672215,0.859302432146802,0.898493160694667,0.899271773345044,0.87232240686718,0.904795010440579,0.876407579877724,0.907336484758491,0.869756228878474,0.900989424188383,0.86518623411045
"G[Ins(C):R4]T",0.990698476706838,0.468612774783235,0.999395287600216,0.992321530826355,0.785609127856639,1,0.995352810748634,0.905309364721281,0.999683465959476,0.995966721729264,0.904575842592949,0.979732527693774,0.973188251913064,0.83912149044737,0.837771916800543,0.993825419418532,0.958854715938149,0.979542578280107,0.899752445113767,0.926458165910407,0.959043391460507,0.909035336561821,0.673446049550138,0.889557772428625,0.964974562902378,0.92728027371017,0.969333262289831
"T[Ins(C):R4]A",0.997486725803763,0.525504450273058,0.995497308722848,0.99872388305154,0.819500207791042,0.995352810748634,1,0.929280288641035,0.995407000992679,0.998356669815709,0.92554403760665,0.989679599371502,0.985458218369848,0.873247935780119,0.875133545712527,0.998046867324643,0.97433003503254,0.990351791967827,0.928133252354905,0.951716399876932,0.974426225227143,0.9362029891023,0.727815762065896,0.91947273411082,0.980415931196226,0.952036254242449,0.982460387932227
"T[Ins(C):R4]G",0.942267907470244,0.742525068526233,0.907399061515129,0.936434952825574,0.913295110406316,0.905309364721281,0.929280288641035,1,0.902547008599841,0.928799449493467,0.956420427965093,0.952343971668605,0.956760378355873,0.934343250233713,0.94120545845033,0.934592088019451,0.95880793960027,0.95177192621358,0.957304953749234,0.961539371498549,0.955428232814652,0.962754906265561,0.857688578419925,0.955753093101717,0.956488713142701,0.966685525177361,0.953124178479368
"T[Ins(C):R4]T",0.990435216052202,0.463649696489513,0.999467703025799,0.992070459776016,0.782093098760837,0.999683465959476,0.995407000992679,0.902547008599841,1,0.995720445773184,0.902186689665421,0.978709061623989,0.972071882277585,0.836070531622414,0.83484101132756,0.993582880072621,0.957594195754006,0.978814204209645,0.898086335745318,0.925211623924421,0.95792608492734,0.907131363272944,0.670044421386338,0.887068951043741,0.964201908340345,0.925917968965139,0.968608928645237
"A[Ins(C):R5]A",0.99686275367833,0.523893832409317,0.996212628363075,0.997433555573963,0.820403944187687,0.995966721729264,0.998356669815709,0.928799449493467,0.995720445773184,1,0.927502837039093,0.990884532922186,0.986844540008518,0.873543493515898,0.875457918527697,0.998478573911188,0.974485324752254,0.990963678201738,0.929129783694608,0.950435445175864,0.976421197393079,0.937497628966302,0.725321920354395,0.921061161511596,0.981067301006712,0.950671252074028,0.983931169565652
"A[Ins(C):R5]G",0.938883004015261,0.730874755668665,0.906717100658779,0.934627900150496,0.908241531912742,0.904575842592949,0.92554403760665,0.956420427965093,0.902186689665421,0.927502837039093,1,0.949866688325401,0.953981879707237,0.930546173639299,0.933436923249601,0.932627997338845,0.955371895829204,0.951451106045758,0.95429457552246,0.958678024108368,0.953705671481651,0.962334633631091,0.856830325889084,0.95233349596792,0.954818989167877,0.962678012093518,0.949748628366034
