InsDel1a,InsDel1b,InsDel1c,InsDel1d,InsDel2a,InsDel2b,InsDel2c,InsDel3,InsDel4a,InsDel4b,InsDel5a,InsDel5b,InsDel6,InsDel7,InsDel8,InsDel24a,InsDel9,InsDel11,InsDel12,InsDel13,InsDel14,InsDel17,InsDel18,InsDel19a,InsDel19b,InsDel19c,InsDel25,InsDel28,InsDel29,InsDel30,InsDel33,InsDel38
A[Del(C):R1]A,0.00262961598959585,0.00130199426560694,0.00127933514201793,0.00309928705038347,0.000976893213671211,0.000399045337943276,0.00129416633088608,0.0310879774650348,0.00517456223044822,0.0121637541659837,0.0102267572067353,0.0116736737936096,0.00346940059432094,0.000710866293322501,0.00446571497673619,0.0217824237077307,0.0274898374541724,0.000573628671852789,0.015109953140938,0.00917030137631982,0.00246074551498575,0.00152905053463232,0.000616143101187456,0.00739911226590157,0.0039847098574388,0.0028729179130127,0.00900552719320231,0.00461637633301589,0.00136416594800267,0.000951467848882501,0.00228586188928556,9.79516865532312e-05
A[Del(C):R1]G,0.000418082239843418,0.000101619148598041,9.14762495386797e-05,0.000215022524256528,5.46865857869532e-05,0.000103854582707319,0.000181676782371469,0.00277081737814904,0.00101184336875453,0.00226158722248462,0.00103089719574597,0.0016865730815245,0.000143446734181323,0.000138076822183836,0.000696865625569395,0.00167939367259972,0.00220015055361156,5.36603060666781e-07,0.00199539065165411,0.00170803677721813,0.000154618716173699,0.000672953720699138,0.000126531174584842,0.00182302053866402,0.000561067759407277,0.000706975739336141,0.00114854520869559,0.000520182753119779,0.000269325085038705,0.00102915529534464,7.60401153175134e-05,4.22996425754401e-05
A[Del(C):R1]T,0.00153375829723372,0.00264944202876872,0.000705993456462468,0.0047520357060053,0.00029471058532894,0.000196664680933487,0.000181122101253492,0.00693026437935119,0.00132305942606081,0.0130373511904737,0.0104014551909466,0.00581344642358104,0.00515037485783614,4.47295670045938e-05,0.00412426261549536,0.0155539190953279,0.0414279434506537,0.000185811005279979,0.00665922557968221,0.00877704097896519,0.00186501588012543,0.00200384562481773,0.00113558284121613,0.00398451803334011,0.0019172340223935,0.00386204226097991,0.00802350783225169,0.00282142655355385,0.000334124000714808,0.00269772708393957,7.91820391625207e-05,8.96381760727849e-05
A[Del(C):R2]A,0.00155108380952331,0.00335497532595729,0.000503068422117668,0.000792827549615011,8.93736124227814e-05,0.000157311874609792,0.000368178950174173,0.0278140360624988,0.00128305433281595,0.00402381471392656,0.0058394729664865,0.0156835497066819,0.000944632143302615,8.74924304556156e-05,0.00083459448751123,0.0107760806410588,0.00607781415501346,3.90256771394023e-07,0.00294206494644228,0.00263966315079749,0.000514051648459232,0.00161498333518229,0.000604459314052749,0.00274668134074523,0.00162898417104536,0.000414917302514014,0.00568022315170535,0.00179412701637283,0.000866988553321137,0.00073908826683954,0.000390964088110147,5.13501897843194e-05
A[Del(C):R2]G,0.000149712339282979,4.62911914002029e-05,4.56922694587768e-05,0.000112655183886279,5.90232407380204e-06,3.32493625759402e-05,2.96158881579923e-05,0.00468510566602262,0.000199359727047326,0.000478843602159465,0.000579387110707421,0.00193629440517526,0.000116763949801093,1.50090534351544e-06,0.000156268695900365,0.000636447301663803,0.000697484074932289,2.92692578545517e-07,0.00035571138156743,0.000452670818239193,4.89995436205481e-05,0.000413191261430367,0.000234417757401295,0.000421357941857022,0.000142113056158999,0.000426558475153851,0.00066213512824202,0.000361512277362918,3.48606411432101e-05,0.00032304351919577,1.06688707373855e-05,7.06203200867739e-06
A[Del(C):R2]T,0.000373745869378306,0.000509174417256842,0.000197544677905408,0.00109417151087323,0.000140430342868307,0.000158643173788629,0.000180366645988518,0.0116179786123144,0.0020318942810852,0.00662022248122079,0.0078424129200566,0.00647507364391665,0.00195193487913636,0.000135581782697561,0.00227253211968436,0.0126602201291276,0.0145610648723452,0.000385622472233719,0.00317921087913018,0.00244973331839331,0.000968894792847792,0.00122800062756921,0.000335608540836617,0.00222606852995842,0.00144216980348205,0.00249748858196497,0.00652593373900621,0.000669201112636034,0.000587984038418116,0.00243999592974724,0.000100105163864056,5.00096733185116e-05
A[Del(C):R3]A,0.000831277225174781,0.00078428799391132,0.00045358289946843,0.00114642270969243,0.000142414648009309,0.000584085988733182,0.000434754296137974,0.0152312567353696,0.000735955222519019,0.00179740876018781,0.00463485630237969,0.0100132172514932,0.001671298867791,0.000234070069972983,0.000258979706298693,0.00515512785536868,0.00411381059020562,0.000388110359151355,0.000379992791653714,0.000925121680038327,0.000250934955790049,0.000553336276040738,0.000184043203394093,0.00124165214220624,0.000549972796747904,0.0013540082173724,0.00383563784976582,0.00068000755321076,0.000209163846859261,0.00219932754193757,0.000269684175234712,4.62469936444977e-05
A[Del(C):R3]G,0.000218897361822492,9.33512250968394e-06,0.000137601596930551,6.96531520742805e-05,3.4638210421684e-05,8.16960682655247e-05,7.27210766329193e-05,0.0023647006907594,0.000168925241897909,0.000704244792925295,0.000841412510048748,0.00135547581247758,0.00020639929712975,5.60898677943055e-05,0.000132227539535512,0.000508488249219876,0.000539249363124491,3.90256771394023e-07,0.000410618941713009,0.000223420265358289,7.09395907431809e-05,0.000352389950842172,8.1132830319993e-05,0.000484507168454341,9.6966996477864e-05,0.000124850517173169,0.000591256128015767,8.43147965750804e-05,0.000150646458723187,0.000622435074979114,5.03196041473999e-05,1.47638184930416e-05
A[Del(C):R3]T,0.000403907158436544,0.000393572666596048,0.000621428621232534,0.000437678496506521,0.000160384340219564,0.000160242719816934,0.000219143279972238,0.0064918814312014,0.00069327016463103,0.0028857178295506,0.00572456262439841,0.00442460606555352,0.000944488871847342,0.000145296694439712,0.000410032525766648,0.00309058480042596,0.0045514455077998,4.39038867818275e-07,0.00155644590399524,0.00109921911875939,0.000178931767531227,0.000658107134612475,0.0004149098904112,0.00118479674197045,0.00053164770655752,0.000780648683187841,0.00314033373257848,0.000376285172830413,0.000194304911830358,0.00128497476891722,0.000145028741020652,4.68290383092334e-05
A[Del(C):R4]A,0.00101671426182599,0.000407675758869436,0.000568149845392834,0.000688193256546919,0.000540065315455476,0.000969576581554613,0.000514250649494157,0.00689465471120484,0.000586853943924167,0.00132108468262804,0.00281809652066972,0.00487181278796309,0.000608306212459645,0.000792197679860841,0.000495333690813918,0.00244031299702084,0.00298057904527353,4.39038867818275e-07,0.000365844923609631,0.00105332531427216,0.000489941862404693,0.000155561810973477,0.000106473221469512,0.00128274083536367,0.000874377851955174,0.000384485594318246,0.00192758938253224,0.000408704494554592,0.000171318561782556,0.00390699726661194,0.000598722394016237,6.87224917323523e-05
A[Del(C):R4]G,0.000127884088514774,8.23923535581201e-06,0.000105981812780109,9.70503058607615e-05,0.000116696787118914,0.000171992594161499,0.000131605751881213,0.00166336896946662,0.000115675826559044,0.000286246454271357,0.000784250785874993,0.000864188120777496,0.000143838444436698,0.000279524211970998,0.000280914224194916,0.00025327579140302,0.000692543620257566,1.95128385697011e-07,0.000476005847264247,0.000637294690053385,4.97747880319482e-05,0.000154991600697033,9.16977063883727e-05,0.000299698336727176,7.00428307750377e-05,0.000261808338183923,0.000450622618871506,0.0002827603416746,4.45033369283446e-05,0.000670888043878602,0.000133566690369251,2.58177205677961e-05
A[Del(C):R4]T,0.000350160361761601,0.000209773456715768,0.000279712299399798,0.00021621370485594,0.000214289570724367,0.000683006154086104,0.000229923830780525,0.0030655952403077,0.00021628019284491,0.00109051888495852,0.00238362577338597,0.00258635801990058,0.000418803802065635,0.000472489746379689,0.00037067636723119,0.00117638062656577,0.00217889964309199,4.87820964242528e-07,0.00081319419649341,0.000642194107297055,0.000211961591416938,0.0002442189495109,0.000162872228218048,0.00084037425305196,0.000418962922415612,0.000421043598255831,0.00164328934182816,0.00142555371249801,0.000184019369659548,0.00213290680891523,0.000287899521915389,4.08750346708178e-05
A[Del(C):R5]A,0.000615064045324892,0.000316510570451263,0.000275473230689974,0.0013004229890552,0.00101477666683803,0.00225899282329067,0.000172784869725619,0.00685871378165127,0.000236446744556563,0.00101044655166731,0.000891072998600804,0.00366046414683067,0.000661698454097416,0.00195492058403608,0.000570932051805783,0.0017085672858124,0.00256516563520308,3.90256771394023e-07,0.000379271115069106,0.000957267100426127,0.000261682805648098,0.000309645299008026,0.000278090623021754,0.0010344543526738,0.000394444233019049,0.000592543557115213,0.000661815704620177,0.000193951048224122,6.55886983785054e-05,0.000632583251886079,0.00097642700767362,9.71388026446909e-05
A[Del(C):R5]G,0.000119668076843616,3.32897239097641e-05,5.98895831125326e-05,3.37446213404423e-05,0.000220286272812181,0.000358129414175772,0.000114094162721035,0.00096519869506875,0.00012417736444327,0.000208534605821046,0.000303679751038985,0.000332786889326832,8.86956999650824e-05,0.000506249334242813,0.000126252046544424,8.37865759411248e-05,0.00030687726950951,4.87820964242528e-08,0.000221088628680378,0.00013491539891855,4.30670330333093e-05,0.000193618067201308,5.87428309822116e-05,0.000125721080822754,0.000116904869947239,0.000163817874574434,0.000182304773867236,0.000258531810704219,0.000131700857385347,0.000290494106090363,0.000287206240607968,3.10462294399689e-05
A[Del(C):R5]T,0.000163629219102177,7.90989544674264e-05,0.000185838836125575,0.000550968427148196,0.000969607763529989,0.00146462779809117,0.000352988174035223,0.00290912088192842,0.000324052188956002,0.000504733600786868,0.00089388879393701,0.00179052220206964,0.00032439858219147,0.0022238047572644,0.000196155642403843,0.000605687270218522,0.00144682711618037,1.95128385697011e-07,0.000508195629923526,0.000462059309909691,0.000185968843834709,0.000470148932377348,0.000401865742980062,0.00058073842943663,0.000304600514896861,0.00020864516703309,0.000581603326402699,0.000232289352172185,0.000261950718643025,0.00125239485027001,0.0010880753428621,4.3104282225273e-05
A[Del(C):R6]A,0.00051315800863493,0.000190305681254577,0.000151258836926565,0.00063607807488959,0.00218568859227418,0.0031441113875371,0.000300038246454118,0.00282679682344777,0.000430718669280492,0.000207655701890921,0.000153925829650739,0.000952033196262785,0.000173235003562822,0.00414631354918405,0.000225540064313431,0.000177807609766003,0.00122508416630457,2.43910482121264e-07,0.00125676970223684,0.000197901121568364,0.00010569795755431,0.000147832293892797,0.000113981703625133,0.000314078882605031,0.000191612534804429,0.00120930172190559,0.000357270815055823,0.00065218096873084,0.000146073065865095,0.000879261231431239,0.00199515393962537,0.000132818305478165
