InDel89	Example	InDel83	Proposed.Etiology
InsDel1a	Biliary::DRUP01010095T	C_ID1	Slippage during DNA replication of the replicated DNA strand
InsDel1b	Colon::SP21400	C_ID1	Loss of POLE (Koh et al., 2025)
InsDel1c	Liver::SP49229	C_ID1	Slippage during DNA replication of the replicated DNA strand
InsDel1d	Stomach::SP135182	C_ID1	Loss of POLE and defective DNA mismatch repair (Koh et al., 2025)
InsDel1e	Bone.SoftTissue::CPCT02020428T	C_ID1	≥8bp homopolymers, defective DNA mismatch repair
InsDel2a	Esophagus::CPCT02010569T	C_ID2	Slippage during DNA replication of the replicated DNA strand
InsDel2b	Colon::SP96118	C_ID2	5-7bp homopolymers, slippage during DNA replication of the replicated DNA strand
InsDel2c	Breast::CPCT02330076T	C_ID2	≥8bp homopolymers, defective DNA mismatch repair
InsDel3a	Lung::CPCT02011046T	C_ID3	Tobacco smoking
InsDel3b	Other::CPCT02020815T	C_ID3	Tobacco smoking
InsDel4a	CNS::CPCT02100089T	C_ID4	Unknown
InsDel4b	Breast::SP8564	C_ID4	Unknown
InsDel5a	Kidney::SP39298	C_ID5	Clock-like mutational process
InsDel5b	Liver::SP50151	C_ID5	Clock-like mutational process
InsDel6	Ovary::SP62616	C_ID6	Defective homologous recombination-based DNA damage repair
InsDel7	Uterus::SP94741	C_ID7	Defective DNA mismatch repair
InsDel8	Breast::SP116365	C_ID8	Repair of DNA double strand breaks by NHEJ
InsDel9	Uterus::SP90629	C_ID9	Unknown
InsDel10	Other::SP109957	C_ID10	Unknown
InsDel11	Pancreas::SP77956	C_ID11	Unknown
InsDel12	Prostate::SP112985	C_ID12	Unknown
InsDel13	Skin::SP124439	C_ID13	Ultraviolet light exposure
InsDel14	Colon::CPCT02040258T	C_ID14	Unknown
InsDel15	WES::TCGA-EW-A2FV-01A-11D-A17D-09	C_ID15	Unknown
InsDel16	WES::TCGA-13-0889-01A-01W-0420-08	C_ID16	Unknown
InsDel17	Other::CPCT02250003T	C_ID17	TOP2A K743N associated mutagenesis
InsDel18	Head::CPCT02070053T	C_ID18	Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin
InsDel19a	Bone.SoftTissue::CPCT02020325T	C_ID19	Unknown
InsDel19b	Skin::CPCT02340081T	C_ID19	Unknown
InsDel19c	Skin::CPCT02060041T	C_ID19	Unknown
InsDel23	Kidney::SP102957	C_ID23	Aristolochic acid exposure
InsDel_Aα	Other::CPCT02330041T	ID_A	APOBEC associated mutagenesis
InsDel_Aβ	Breast::SP2293	ID_A	Unknown
InsDel_B	Liver::CPCT02020413T	ID_B	Unknown
InsDel_C	Breast::CPCT02010772T	ID_C	Unknown
InsDel_D	Colon::CPCT02340014T	ID_D	Unknown
InsDel_E	Uterus::DRUP01340014T	ID_E	Unknown
InsDel_F	Skin::SP103894	ID_F	TOP1 transcription associated mutagenesis
InsDel_G	Other::DRUP01030015T	ID_G	Unknown
InsDel_H	Bone.SoftTissue::CPCT02010648T	ID_H	Unknown
InsDel_I	CNS::SP107439	ID_I	Unknown
InsDel_J	Breast::DRUP01010037T	ID_J	Defective DNA mismatch repair
InsDel_Kα	Prostate::SP112817	ID_K	Defective DNA mismatch repair
InsDel_Kβ	Colon::SP17905	ID_K	Unknown
InsDel_L	Pancreas::SP70106	ID_L	Defective DNA mismatch repair
InsDel_M	Prostate::SP112777	ID_M	Unknown
InsDel_N	Stomach::CPCT02030347T	ID_N	Unknown
InsDel_O	CNS::CPCT02100101T	ID_O	Defective DNA mismatch repair
